time,ion_current_M2,ion_current_M44,potential,current1_mA,coll_current,current1,current1_muA,ion_current_M2_sBG_sub,ion_current_M2_sBG_ALS,ion_current_M2_sBG_ALS_sub,ion_current_M2_ALS,ion_current_M2_UVS,ion_current_M2_UVS_sub,ion_current_M2_UVS_ALS,ion_current_M2_UVS_ALS_sub,ion_current_M2_MF,ion_current_M2_MF_sub,ion_current_M44_sBG_sub,ion_current_M44_sBG_ALS,ion_current_M44_sBG_ALS_sub,ion_current_M44_ALS,ion_current_M44_UVS,ion_current_M44_UVS_sub,ion_current_M44_UVS_ALS,ion_current_M44_UVS_ALS_sub,ion_current_M44_MF,ion_current_M44_MF_sub
1722.35,3.2605200000000064e-09,5.368355659340613e-10,1.4203132000000014,0.2024112000000095,,0.0002024112000000095,202.4112000000095,-6.109270718231071e-11,-7.488612074873024e-11,1.3793413566419546e-11,3.25511447463522e-09,3.2681948519568318e-09,-7.674851956824914e-12,-2.1470040420249338e-11,1.3795188463424425e-11,3.2610064615384588e-09,-4.86461538451936e-13,2.480915351648267e-10,-3.3971826130197434e-12,2.514887177778464e-10,3.25511447463522e-09,4.904460541398309e-10,4.6389511794230406e-11,-2.0509501218909246e-10,2.5148452398332295e-10,4.4779390329670255e-10,8.904166263735877e-11
1722.4,3.2624200000000045e-09,5.335469530386739e-10,1.4219325081967231,0.21318552459017606,,0.00021318552459017605,213.18552459017604,-5.919270718231261e-11,-7.48870793179092e-11,1.5694372135596606e-11,3.255111111692835e-09,3.268195862283758e-09,-5.775862283753562e-12,-2.1472009557635e-11,1.569614727388143e-11,3.2610064615384588e-09,1.4135384615461654e-12,2.4480292226943924e-10,-3.3972030524505862e-12,2.482001253218898e-10,3.255111111692835e-09,4.90441365498209e-10,4.310558754046486e-11,-2.0509034380142747e-10,2.481959313418923e-10,4.4779390329670255e-10,8.575304974197133e-11
1722.45,3.2643200000000026e-09,5.289715662983476e-10,1.423766934426232,0.2256888032787053,,0.00022568880327870528,225.68880327870534,-5.729270718231449e-11,-7.488803734647147e-11,1.759533016415698e-11,3.2551077545771833e-09,3.2681968726309996e-09,-3.876872630997353e-12,-2.1473978175108517e-11,1.759710554411116e-11,3.2610064615384588e-09,3.3135384615442663e-12,2.402275355291129e-10,-3.397223407725517e-12,2.4362475893683845e-10,3.2551077545771833e-09,4.904366758635122e-10,3.853489043483534e-11,-2.0508567433695343e-10,2.436205647717888e-10,4.4779390329670255e-10,8.117766300164503e-11
1722.5,3.263437480662981e-09,5.243961795580213e-10,1.4255466190476174,0.2438812222222035,,0.00024388122222220352,243.88122222220343,-5.8175226519336426e-11,-7.488899483357472e-11,1.6713768314238296e-11,3.255104403268807e-09,3.268197882998567e-09,-4.760402335586248e-12,-2.147594627183847e-11,1.6715543936252222e-11,3.2610064615384588e-09,2.431019124522333e-12,2.3565214878878664e-10,-3.3972436788022583e-12,2.390493924675889e-10,3.255104403268807e-09,4.904319852358117e-10,3.396419432220958e-11,-2.0508100379569876e-10,2.390451981179084e-10,4.4779390329670255e-10,7.660227626131873e-11
1722.5500000000004,3.2603686961325795e-09,5.198207928176741e-10,1.4271536451612954,0.2605251612903734,,0.00026052516129037337,260.52516129037343,-6.124401104973765e-11,-7.488995177837653e-11,1.364594072863888e-11,3.255101057748245e-09,3.2681988933864722e-09,-7.830197253892739e-12,-2.1477913846993433e-11,1.3647716593100693e-11,3.261018329670333e-09,-6.496335377532508e-13,2.3107676204843946e-10,-3.3972638656385286e-12,2.34474025914078e-10,3.255101057748245e-09,4.904272936151791e-10,2.9393499202495124e-11,-2.050763321776923e-10,2.3446983138018744e-10,4.4779390329670255e-10,7.202688952097155e-11
1722.6,3.2572999116021923e-09,5.179942901098892e-10,1.4286810645161327,0.27867070967746915,,0.00027867070967746915,278.6707096774691,-6.431279558012482e-11,-7.489090818003455e-11,1.0578112599909713e-11,3.255097717996041e-09,3.268199903794725e-09,-1.0899992192532988e-11,-2.1479880899741977e-11,1.057988870720899e-11,3.2610444999999867e-09,-3.744588397793965e-12,2.2925025934065442e-10,-3.397283968192045e-12,2.3264754330884647e-10,3.255097717996041e-09,4.904226010016859e-10,2.7571689108203264e-11,-2.050716594829627e-10,2.3264334859116598e-10,4.4779390329670255e-10,7.02003868131865e-11
1722.65,3.2542311270718047e-09,5.170358560439546e-10,1.4301611666666667,0.3007738333333333,,0.0003007738333333333,300.7738333333333,-6.738158011051239e-11,-7.489186403770633e-11,7.510283927193933e-12,3.255094383992737e-09,3.2682009142233378e-09,-1.3969787151533455e-11,-2.148184742925268e-11,7.512060277719222e-12,3.2610538121546908e-09,-6.822685082886445e-12,2.2829182527472008e-10,-3.3973039864205204e-12,2.3168912926114057e-10,3.255094383992737e-09,4.904179073954034e-10,2.661794864855131e-11,-2.0506698571153862e-10,2.3168493436008998e-10,4.4779390329670255e-10,6.924195274725218e-11
1722.7,3.2567875414364782e-09,5.160774219780205e-10,1.431452,0.32648299999999997,,0.00032648299999999997,326.48299999999995,-6.482516574583932e-11,-7.489281935054955e-11,1.0067653604710213e-11,3.255091055719096e-09,3.2682019246723237e-09,-1.141438323584591e-11,-2.1483813434694124e-11,1.0069430198848212e-11,3.2610651767955853e-09,-4.2776353591070425e-12,2.2733339120878587e-10,-3.397323920281671e-12,2.3073071512906752e-10,3.255091055719096e-09,4.904132127964037e-10,2.5664209181616795e-11,-2.0506231086344885e-10,2.3072652004506565e-10,4.4779390329670255e-10,6.828351868131793e-11
1722.75,3.259703011049734e-09,5.147682839778942e-10,1.432887,0.3555788333333333,,0.0003555788333333333,355.57883333333336,-6.190969613258298e-11,-7.489377411772177e-11,1.29840779851388e-11,3.2550877331557947e-09,3.2682029351416918e-09,-8.499924091957621e-12,-2.148577891523489e-11,1.2985854823277274e-11,3.2610651767955853e-09,-1.362165745850675e-12,2.2602425320865944e-10,-3.3973437697332085e-12,2.2942159697839263e-10,3.2550877331557947e-09,4.904085172047579e-10,2.435976677313619e-11,-2.050576349387221e-10,2.2941740171185828e-10,4.4779390329670255e-10,6.69743806811915e-11
1722.8000000000004,3.262618480663004e-09,5.10887317127052e-10,1.4341733548387123,0.3889212258065273,,0.0003889212258065273,388.9212258065273,-5.899422651931336e-11,-7.489472833838059e-11,1.590050181906724e-11,3.2550844162836807e-09,3.268203945631454e-09,-5.5854649684502364e-12,-2.14877438700436e-11,1.5902278901593365e-11,3.2610651767955853e-09,1.5533038674189273e-12,2.2214328635781744e-10,-3.3973635347328417e-12,2.2554064989255025e-10,3.2550844162836807e-09,4.904038206205376e-10,2.0483496506514347e-11,-2.0505295793738718e-10,2.2553645444390145e-10,4.4779390329670255e-10,6.30934138303495e-11
1722.85,3.2650700989011073e-09,5.070063502762276e-10,1.4346453225806448,0.4171598387097083,,0.0004171598387097084,417.1598387097083,-5.6542608281210227e-11,-7.48956820116836e-11,1.8353073730473354e-11,3.2550811050840603e-09,3.268204956141622e-09,-3.1348572405150405e-12,-2.1489708298288836e-11,1.8354851057773792e-11,3.2610651767955853e-09,4.004922105522058e-12,2.182623195069931e-10,-3.397383215238276e-12,2.2165970272223138e-10,3.2550811050840603e-09,4.903991230438146e-10,1.660722723241298e-11,-2.0504827985947256e-10,2.2165550709188556e-10,4.4779390329670255e-10,5.921244697952518e-11
1722.9,3.2665360329670374e-09,5.031253834254034e-10,1.4344622258064512,0.4337611612903245,,0.0004337611612903245,433.7611612903245,-5.5076674215279355e-11,-7.489663513678827e-11,1.981996092150892e-11,3.255077799538242e-09,3.268205966672206e-09,-1.6699337051681498e-12,-2.1491672199139193e-11,1.9821738493971047e-11,3.2610651767955853e-09,5.470856171452942e-12,2.1438135265616882e-10,-3.397402811207214e-12,2.1777875546737603e-10,3.255077799538242e-09,4.903944244746602e-10,1.273095895074316e-11,-2.0504360070500703e-10,2.1777455965575016e-10,4.4779390329670255e-10,5.5331480128700856e-11
1722.95,3.268001967032969e-09,4.999651071823163e-10,1.4341618196721322,0.43546495081967856,,0.0004354649508196786,435.4649508196787,-5.361074014934847e-11,-7.48975877128522e-11,2.1286847563503736e-11,3.2550744996275352e-09,3.26820697722322e-09,-2.0501019025137948e-13,-2.1493635571763266e-11,2.1288625381511886e-11,3.2610651767955853e-09,6.936790237383827e-12,2.1122107641308164e-10,-3.397422322597357e-12,2.1461849873567898e-10,3.2550744996275352e-09,4.903897249131464e-10,9.575382269169913e-12,-2.0503892047401926e-10,2.1461430274318917e-10,4.4779390329670255e-10,5.2171203885613726e-11
1723.0,3.269467901098899e-09,4.975255215469599e-10,1.433597065573771,0.4318518360655789,,0.0004318518360655789,431.8518360655788,-5.2144806083418e-11,-7.489853973903292e-11,2.275373365561493e-11,3.2550712053332457e-09,3.268207987794675e-09,1.2599133042241035e-12,-2.1495598415329627e-11,2.275551171955373e-11,3.2610651767955853e-09,8.402724303314298e-12,2.0878149077772531e-10,-3.3974417493664014e-12,2.1217893252709168e-10,3.2550712053332457e-09,4.903850243593445e-10,7.140497187615378e-12,-2.0503423916653755e-10,2.121747363541529e-10,4.4779390329670255e-10,4.9731618250257384e-11
1723.0500000000004,3.26857136464088e-09,4.950859359115924e-10,1.4332794193548375,0.4252566451612633,,0.00042525664516126333,425.2566451612633,-5.304134254143739e-11,-7.489949121448796e-11,2.1858148673050572e-11,3.2550679166366847e-09,3.268208998386579e-09,3.623662543005702e-13,-2.149756072900686e-11,2.185992698330743e-11,3.2610651767955853e-09,7.506187845294896e-12,2.0634190514235775e-10,-3.397461091472047e-12,2.0973936623382982e-10,3.2550679166366847e-09,4.903803228133258e-10,4.705613098266469e-12,-2.050295567825904e-10,2.0973516988085684e-10,4.4779390329670255e-10,4.7292032614889855e-11
1723.1,3.2665630773480648e-09,4.926463502762362e-10,1.4328294999999986,0.4162389999999768,,0.0004162389999999768,416.2389999999768,-5.504962983425279e-11,-7.490044213837486e-11,1.9850812304122072e-11,3.255064633519161e-09,3.268210008998946e-09,-1.6469316508817548e-12,-2.1499522511963558e-11,1.985259086108181e-11,3.2610651767955853e-09,5.4979005524794975e-12,2.0390231950700142e-10,-3.39748034887199e-12,2.072997998558734e-10,3.255064633519161e-09,4.903756202751623e-10,2.2707300010737616e-12,-2.0502487332220626e-10,2.0729560332328e-10,4.4779390329670255e-10,4.4852446979533506e-11
1723.15,3.264554790055249e-09,4.891236110497173e-10,1.4323293809523807,0.4050314126984016,,0.0004050314126984015,405.03141269840165,-5.705791712706819e-11,-7.490139250985117e-11,1.784347538278298e-11,3.255061355961982e-09,3.268211019631789e-09,-3.6562295765396956e-12,-2.150148376336833e-11,1.7845254186828634e-11,3.2610538121546908e-09,3.5009779005577648e-12,2.0037958028048268e-10,-3.397499521523928e-12,2.0377707980200663e-10,3.255061355961982e-09,4.903709167449255e-10,-1.2473056952081435e-12,-2.0502018878541364e-10,2.037728830902055e-10,4.4779390329670255e-10,4.132970775301479e-11
