time,ion_current_M44,potential,current1,current1_muA,ion_current_M44_sBG_sub,ion_current_M44_sBG_ALS,ion_current_M44_sBG_ALS_sub,ion_current_M44_ALS,ion_current_M44_UVS,ion_current_M44_UVS_sub,ion_current_M44_UVS_ALS,ion_current_M44_UVS_ALS_sub,ion_current_M44_MF,ion_current_M44_MF_sub
248.55,4.439890109890113e-10,-0.0095844257999999,-1.5670000000000005e-07,-0.1567,-3.8557912087912015e-09,-3.856835202684688e-09,1.0439938934874638e-12,2.8110715393848513e-10,9.523969710447354e-10,-5.084079600557242e-10,-5.16223352860857e-10,4.439890109890113e-10,4.4496703296703375e-10,-9.780219780224715e-13
248.6,4.4508791208791244e-10,-0.0091327195999998,-1.553999999999991e-07,-0.1553999999999991,-3.854692307692299e-09,-3.856837591820035e-09,2.1452841277355875e-12,2.8110708591708503e-10,9.524230411685283e-10,-5.07335129080616e-10,-5.162516349471924e-10,4.4508791208791244e-10,4.4495604395604403e-10,1.3186813186840581e-13
248.65,4.461868131868131e-10,-0.0085875586,-1.5140000000000026e-07,-0.1514000000000002,-3.853593406593399e-09,-3.85683999401256e-09,3.2465874191612018e-12,2.8110728247726403e-10,9.524491112923214e-10,-5.062622981055081e-10,-5.162799028881234e-10,4.461868131868131e-10,4.4495604395604403e-10,1.2307692307690476e-12
248.7,4.4627777777777724e-10,-0.0081047493999999,-1.469999999999989e-07,-0.1469999999999988,-3.853502442002434e-09,-3.856842409209055e-09,3.339967206620772e-12,2.811077435242597e-10,9.52475181416114e-10,-5.061974036383368e-10,-5.163081566810403e-10,4.4627777777777724e-10,4.4495604395604403e-10,1.3217338217332019e-12
248.75,4.4349999999999966e-10,-0.0077154679,-1.420000000000003e-07,-0.1420000000000002,-3.856280219780212e-09,-3.856844837356314e-09,5.646175761020534e-13,2.811084689633094e-10,9.52501251539907e-10,-5.090012515399072e-10,-5.163363963233324e-10,4.4349999999999966e-10,4.449555555555557e-10,-1.4555555555559676e-12
248.8,4.41494505494505e-10,-0.0072638353999998,-1.3519999999999782e-07,-0.1351999999999977,-3.858285714285707e-09,-3.8568472784011325e-09,-1.438435884574234e-12,2.8110945869965103e-10,9.525273216637e-10,-5.110328161691951e-10,-5.163646218123902e-10,4.41494505494505e-10,4.449555555555557e-10,-3.461050061050665e-12
248.85,4.4039560439560375e-10,-0.0067186763999997,-1.2569999999999512e-07,-0.125699999999995,-3.859384615384608e-09,-3.856849732284657e-09,-2.534883099951385e-12,2.811107126385221e-10,9.52553391787493e-10,-5.121577873918893e-10,-5.163928331456044e-10,4.4039560439560375e-10,4.449555555555557e-10,-4.559951159951927e-12
248.9,4.417582417582422e-10,-0.0061735173999998,-1.1619999999999785e-07,-0.1161999999999978,-3.85802197802197e-09,-3.856852198962419e-09,-1.1697790595512293e-12,2.8111223068516035e-10,9.52579461911286e-10,-5.108212201530439e-10,-5.164210303203657e-10,4.417582417582422e-10,4.4495604395604403e-10,-3.1978021978019004e-12
248.95,4.4450549450549534e-10,-0.0056283583999997,-1.0669999999999515e-07,-0.1066999999999951,-3.8552747252747165e-09,-3.856854678415293e-09,1.5799531405763737e-12,2.811140127448037e-10,9.526055320350788e-10,-5.081000375295833e-10,-5.164492133340654e-10,4.4450549450549534e-10,4.4495604395604403e-10,-4.505494505487451e-13
249.0,4.454505494505494e-10,-0.0051143503999999,-9.805999999999917e-08,-0.0980599999999991,-3.854329670329663e-09,-3.8568571706358544e-09,2.5275003061908504e-12,2.8111605872268965e-10,9.526316021588719e-10,-5.071810527083224e-10,-5.164773821840945e-10,4.454505494505494e-10,4.449555555555557e-10,4.949938949937029e-13
249.05,4.46e-10,-0.0046470688999999,-9.070999999999916e-08,-0.0907099999999991,-3.8537802197802115e-09,-3.856859675600874e-09,3.0794558206629518e-12,2.811183685240563e-10,9.526576722826643e-10,-5.066576722826644e-10,-5.165055368678443e-10,4.46e-10,4.449555555555557e-10,1.044444444444334e-12
249.1,4.4764835164835237e-10,-0.0041642061999998,-8.760000000000073e-08,-0.0876000000000007,-3.8521318681318604e-09,-3.856862193287129e-09,4.730325155269601e-12,2.8112094205414145e-10,9.526837424064576e-10,-5.050353907581051e-10,-5.16533677382707e-10,4.4764835164835237e-10,4.449555555555557e-10,2.6927960927966925e-12
249.15,4.48604395604395e-10,-0.0036579717,-9.084999999999981e-08,-0.0908499999999998,-3.8511758241758165e-09,-3.856864723671395e-09,5.688899495578923e-12,2.8112377921818305e-10,9.527098125302507e-10,-5.041054169258556e-10,-5.165618037260738e-10,4.48604395604395e-10,4.4495604395604403e-10,3.648351648350904e-12
249.2,4.4640659340659247e-10,-0.0031517371999998,-9.410000000000073e-08,-0.0941000000000007,-3.8533736263736205e-09,-3.8568672667304485e-09,3.493640356828798e-12,2.8112687992141903e-10,9.527358826540431e-10,-5.063292892474507e-10,-5.165899158953367e-10,4.4640659340659247e-10,4.4495604395604403e-10,1.4505494505484314e-12
249.25,4.451978021978022e-10,-0.0026455027,-9.734999999999981e-08,-0.0973499999999998,-3.854582417582409e-09,-3.856869822441069e-09,2.287404858659979e-12,2.8113024406908726e-10,9.527619527778364e-10,-5.075641505800343e-10,-5.166180138878871e-10,4.451978021978022e-10,4.4495604395604403e-10,2.4175824175809776e-13
249.3,4.4574725274725276e-10,-0.0021548555999998,-9.027999999999489e-08,-0.0902799999999948,-3.854032967032959e-09,-3.8568723907800415e-09,2.839423747082539e-12,2.81133871566426e-10,9.52788022901629e-10,-5.070407701543765e-10,-5.166460977011165e-10,4.4574725274725276e-10,4.4495604395604403e-10,7.912087912087288e-13
249.35,4.450999999999995e-10,-0.0016875895999997,-6.772999999998847e-08,-0.0677299999999884,-3.854680219780212e-09,-3.85687497172415e-09,2.194751943937961e-12,2.8113776231867315e-10,9.52814093025422e-10,-5.077140930254225e-10,-5.166741673324166e-10,4.450999999999995e-10,4.4495604395604403e-10,1.4395604395544216e-13
249.4,4.4343333333333344e-10,-0.0012047462999999,-4.9075999999997825e-08,-0.0490759999999978,-3.8563468864468794e-09,-3.856877565250179e-09,5.306788033003614e-13,2.8114191623106677e-10,9.52840163149215e-10,-5.094068298158816e-10,-5.167022227791793e-10,4.4343333333333344e-10,4.4495604395604403e-10,-1.5227106227105984e-12
249.45,4.4462637362637423e-10,-0.0006985370499998,-3.626599999999599e-08,-0.0362659999999959,-3.8551538461538375e-09,-3.856880171334914e-09,1.7263251810762677e-12,2.81146333208845e-10,9.528662332730079e-10,-5.082398596466336e-10,-5.167302640387964e-10,4.4462637362637423e-10,4.4496703296703375e-10,-3.406593406594668e-13
249.5,4.4682417582417614e-10,-0.0001923278,-2.3456000000001458e-08,-0.0234560000000014,-3.852956043956036e-09,-3.8568827899498326e-09,3.9267459937965866e-12,2.811510131572458e-10,9.52892303396801e-10,-5.060681275726248e-10,-5.167582911086603e-10,4.4682417582417614e-10,4.4496703296703375e-10,1.857142857142437e-12
249.55,4.4649450549450525e-10,0.00031388145,-1.0645999999999638e-08,-0.0106459999999996,-3.853285714285707e-09,-3.8568854210491485e-09,3.599706763441633e-12,2.811559559815073e-10,9.52918373520594e-10,-5.064238680260886e-10,-5.167863039861634e-10,4.4649450549450525e-10,4.4496703296703375e-10,1.527472527471552e-12
249.6,4.4589010989010934e-10,0.0008356665000001,-2.521999999999751e-09,-0.0025219999999997,-3.853890109890102e-09,-3.856888064587076e-09,2.9979546969741487e-12,2.8116116158686767e-10,9.52944443644387e-10,-5.070543337542776e-10,-5.16814302668699e-10,4.4589010989010934e-10,4.4496703296703375e-10,9.230769230756354e-13
249.65,4.447912087912088e-10,0.0013808152499999,-1.4270000000000622e-09,-0.001427,-3.854989010989003e-09,-3.856890720517831e-09,1.901709528828546e-12,2.8116662987856513e-10,9.529705137681798e-10,-5.08179304976971e-10,-5.168422871536596e-10,4.447912087912088e-10,4.4496703296703375e-10,-1.7582417582500637e-13
249.7,4.4369230769230733e-10,0.0019259640000001,-3.3199999999975106e-10,-0.0003319999999997,-3.856087912087904e-09,-3.856893388795632e-09,8.054767077275322e-13,2.811723607618379e-10,9.529965838919727e-10,-5.093042761996653e-10,-5.168702574384389e-10,4.4369230769230733e-10,4.4496703296703375e-10,-1.2747252747263202e-12
249.75,4.425934065934065e-10,0.0024711127499999,7.629999999999374e-10,0.0007629999999999,-3.857186813186805e-09,-3.856896069355675e-09,-2.907438311302212e-13,2.8117835414192416e-10,9.530226540157655e-10,-5.10429247422359e-10,-5.168982135204297e-10,4.425934065934065e-10,4.449780219780218e-10,-2.3846153846153883e-12
