time,ion_current_M44,potential,current1,current1_muA,ion_current_M44_sBG_sub,ion_current_M44_sBG_ALS,ion_current_M44_sBG_ALS_sub,ion_current_M44_ALS,ion_current_M44_UVS,ion_current_M44_UVS_sub,ion_current_M44_UVS_ALS,ion_current_M44_UVS_ALS_sub,ion_current_M44_MF,ion_current_M44_MF_sub
279.65000000000003,4.43494505494505e-10,0.3011357300000001,2.275999999998595e-07,0.2275999999998594,-3.856285714285707e-09,-3.854435130373837e-09,-1.8505839118699285e-12,3.2838172317689635e-10,9.686125880439346e-10,-5.251180825494296e-10,-5.309798062480222e-10,4.43494505494505e-10,4.45274725274725e-10,-1.7802197802199888e-12
279.7,4.4569230769230665e-10,0.3014449699999998,1.0469999999999941e-07,0.1046999999999994,-3.8540879120879055e-09,-3.8544050492307884e-09,3.171371428821128e-13,3.2852792523486047e-10,9.686386581677274e-10,-5.229463504754208e-10,-5.309988019911951e-10,4.4569230769230665e-10,4.45274725274725e-10,4.1758241758170826e-13
279.75,4.495384615384634e-10,0.301990145,1.064499999999999e-07,0.1064499999999998,-3.850241758241749e-09,-3.854374829183377e-09,4.133070941627969e-12,3.2867433294129804e-10,9.686647282915203e-10,-5.191262667530571e-10,-5.310177825237219e-10,4.495384615384634e-10,4.45274725274725e-10,4.263736263738452e-12
279.8,4.480659340659325e-10,0.3025353200000001,1.082000000000004e-07,0.1082000000000004,-3.851714285714279e-09,-3.854344470705814e-09,2.630184991534548e-12,3.288209462014758e-10,9.686907984153134e-10,-5.206248643493807e-10,-5.310367478560122e-10,4.480659340659325e-10,4.45274725274725e-10,2.791208791207533e-12
279.85,4.4616483516483747e-10,0.3030804950000003,1.099500000000009e-07,0.1099500000000009,-3.8536153846153744e-09,-3.854313974272311e-09,6.985896569362842e-13,3.289677649206607e-10,9.68716868539106e-10,-5.225520333742686e-10,-5.310556979984769e-10,4.4616483516483747e-10,4.4527777777777755e-10,8.8705738705992e-13
279.90000000000003,4.4891208791209057e-10,0.3035945000000003,1.0233999999998524e-07,0.1023399999999852,-3.850868131868121e-09,-3.8542833403570794e-09,3.415208488958505e-12,3.2911478900411973e-10,9.687429386628991e-10,-5.198308507508085e-10,-5.310746329615256e-10,4.4891208791209057e-10,4.452857142857137e-10,3.6263736263768955e-12
279.95,4.4954945054945053e-10,0.3040617499999998,8.069000000000986e-08,0.0806900000000098,-3.850230769230761e-09,-3.854252569434333e-09,4.021800203572362e-12,3.2926201835711985e-10,9.687690087866922e-10,-5.192195582372415e-10,-5.310935527555693e-10,4.4954945054945053e-10,4.452967032967032e-10,4.2527472527474926e-12
280.0,4.4350549450549374e-10,0.3044978599999999,7.59599999999953e-08,0.0759599999999953,-3.8562747252747185e-09,-3.854221661978288e-09,-2.0530632964305376e-12,3.294094528849282e-10,9.68795078910485e-10,-5.252895844049913e-10,-5.31112457391018e-10,4.4350549450549374e-10,4.453186813186813e-10,-1.8131868131875424e-12
280.05,4.413846153846162e-10,0.3048872600000001,9.661000000000704e-08,0.096610000000007,-3.858395604395596e-09,-3.854190618463162e-09,-4.204985932433372e-12,3.295570924928117e-10,9.68821149034278e-10,-5.274365336496618e-10,-5.311313468782827e-10,4.413846153846162e-10,4.4531868131868185e-10,-3.934065934065654e-12
280.1,4.4468131868132004e-10,0.3053405000000003,1.0839999999999897e-07,0.1083999999999989,-3.855098901098892e-09,-3.854159439383706e-09,-9.39461715185338e-13,3.297049370860378e-10,9.68847219158071e-10,-5.24165900476751e-10,-5.311502212277745e-10,4.4468131868132004e-10,4.4533333333333355e-10,-6.520146520135682e-13
