time,ion_current_M44,potential,current1,current1_muA,ion_current_M44_sBG_sub,ion_current_M44_sBG_ALS,ion_current_M44_sBG_ALS_sub,ion_current_M44_ALS,ion_current_M44_UVS,ion_current_M44_UVS_sub,ion_current_M44_UVS_ALS,ion_current_M44_UVS_ALS_sub,ion_current_M44_MF,ion_current_M44_MF_sub
0.5,4.445384615384616e-10,0.2144133565219998,-3.016759439999997e-07,-0.3016759439999996,-3.85524175824175e-09,-3.855398696428155e-09,1.56938186404588e-13,4.4616136212765737e-10,8.230630869080357e-10,-3.7852462536957425e-10,-4.0335858600981537e-10,4.445384615384616e-10,4.4226666666666667e-10,2.271794871794829e-12
0.55,4.448222222222223e-10,0.2138682065219998,-2.938759439999998e-07,-0.2938759439999996,-3.854957997557989e-09,-3.8553943618111445e-09,4.3636425315505467e-13,4.4607752606143244e-10,8.230891570318288e-10,-3.782669348096066e-10,-4.0336835919115525e-10,4.448222222222223e-10,4.4228571428571426e-10,2.536507936507941e-12
0.6000000000000001,4.437111111111111e-10,0.2133230565219998,-2.8607594399999977e-07,-0.2860759439999997,-3.8560691086691006e-09,-3.8553900279229025e-09,-6.79080746198057e-13,4.4599368997950797e-10,8.231152271556216e-10,-3.7940411604451056e-10,-4.033781323724864e-10,4.437111111111111e-10,4.423222222222223e-10,1.3888888888888669e-12
0.65,4.4339560439560436e-10,0.2127779065219998,-2.7827594399999977e-07,-0.2782759439999996,-3.856384615384607e-09,-3.855385694882925e-09,-9.989205016821916e-13,4.459098538787532e-10,8.231412972794148e-10,-3.797456928838104e-10,-4.0338790555380726e-10,4.4339560439560436e-10,4.4234065934065934e-10,1.0549450549450237e-12
0.7000000000000001,4.4449450549450547e-10,0.2122327565219998,-2.704759439999998e-07,-0.2704759439999997,-3.855285714285707e-09,-3.855381362817499e-09,9.564853179234783e-14,4.4582601775580885e-10,8.231673674032074e-10,-3.78672861908702e-10,-4.033976787351168e-10,4.4449450549450547e-10,4.4239560439560436e-10,2.098901098901104e-12
0.75,4.447032967032967e-10,0.2116876065219998,-2.626759439999998e-07,-0.2626759439999997,-3.855076923076915e-09,-3.855377031862899e-09,3.001087859846133e-13,4.4574218160706464e-10,8.231934375270004e-10,-3.784901408237037e-10,-4.034074519164135e-10,4.447032967032967e-10,4.4246153846153854e-10,2.2417582417581425e-12
0.8,4.4415384615384616e-10,0.2111424565219998,-2.548759439999998e-07,-0.2548759439999997,-3.855626373626366e-09,-3.855372702154442e-09,-2.536714719235276e-13,4.4565834542877616e-10,8.232195076507934e-10,-3.7906566149694727e-10,-4.0341722509769606e-10,4.4415384615384616e-10,4.4263736263736267e-10,1.5164835164834357e-12
0.8500000000000001,4.4597802197802197e-10,0.2105973065219998,-2.470759439999998e-07,-0.2470759439999997,-3.85380219780219e-09,-3.855368373824444e-09,1.5661760222538373e-12,4.4557450921709575e-10,8.232455777745861e-10,-3.772675557965643e-10,-4.0342699827896305e-10,4.4597802197802197e-10,4.4271428571428574e-10,3.2637362637361288e-12
0.9,4.4872527472527466e-10,0.2100521565219998,-2.392759439999998e-07,-0.2392759439999997,-3.8510549450549375e-09,-3.855364047007755e-09,4.3091019528175866e-12,4.4549067296802456e-10,8.232716478983793e-10,-3.7454637317310466e-10,-4.034367714602129e-10,4.4872527472527466e-10,4.4282417582417574e-10,5.901098901098921e-12
0.95,4.4504395604395605e-10,0.2095070065219998,-2.314759439999998e-07,-0.2314759439999997,-3.8547362637362555e-09,-3.855359721823565e-09,6.234580873094949e-13,4.4540683667760436e-10,8.23297718022172e-10,-3.78253761978216e-10,-4.034465446414439e-10,4.4504395604395605e-10,4.428571428571428e-10,2.186813186813219e-12
1.0,4.4139560439560426e-10,0.2089618565219999,-2.2367594399999985e-07,-0.2236759439999998,-3.858384615384607e-09,-3.855355398391062e-09,-3.02921699354504e-12,4.453230003422005e-10,8.233237881459652e-10,-3.8192818375036085e-10,-4.0345631782265385e-10,4.4139560439560426e-10,4.4286666666666654e-10,-1.4710622710622286e-12
1.05,4.4634065934065927e-10,0.2084167065219999,-2.1587594399999987e-07,-0.2158759439999998,-3.853439560439552e-09,-3.855351076823199e-09,1.9115163836468003e-12,4.452391639581417e-10,8.23349858269758e-10,-3.7700919892909876e-10,-4.03466091003841e-10,4.4634065934065927e-10,4.4287777777777774e-10,3.4628815628815265e-12
1.1,4.4871428571428566e-10,0.2078715565219999,-2.0807594399999987e-07,-0.2080759439999998,-3.851065934065926e-09,-3.855346757263215e-09,4.280823197289065e-12,4.451553275213641e-10,8.233759283935508e-10,-3.7466164267926524e-10,-4.0347586418500306e-10,4.4871428571428566e-10,4.4287912087912087e-10,5.835164835164744e-12
1.15,4.4376923076923066e-10,0.2073264065219999,-2.0027594399999986e-07,-0.2002759439999998,-3.856010989010981e-09,-3.855342439835234e-09,-6.685491757464817e-13,4.4507149102791415e-10,8.23401998517344e-10,-3.7963276774811327e-10,-4.0348563736613775e-10,4.4376923076923066e-10,4.4289010989010986e-10,8.791208791207927e-13
