time,ion_current_M44,potential,current1,current1_muA,ion_current_M44_sBG_sub,ion_current_M44_sBG_ALS,ion_current_M44_sBG_ALS_sub,ion_current_M44_ALS,ion_current_M44_UVS,ion_current_M44_UVS_sub,ion_current_M44_UVS_ALS,ion_current_M44_UVS_ALS_sub,ion_current_M44_MF,ion_current_M44_MF_sub
316.70000000000005,4.6002197802197625e-10,0.6708501800000003,8.956000000000127e-07,0.8956000000000126,-3.839758241758235e-09,-4.0579803664831844e-09,2.1822212472494916e-10,4.875342819708749e-10,9.879305497744918e-10,-5.279085717525156e-10,-5.417461145506685e-10,4.6002197802197625e-10,4.56133333333334e-10,3.888644688642224e-12
316.75,4.59e-10,0.6712318800000001,9.096000000000048e-07,0.9096000000000047,-3.840780219780212e-09,-4.058441302169742e-09,2.176610823895301e-10,4.878163770534345e-10,9.879566198982847e-10,-5.289566198982847e-10,-5.41757852387041e-10,4.59e-10,4.5623076923077187e-10,2.769230769228147e-12
316.8,4.59e-10,0.6717101200000004,9.25600000000013e-07,0.925600000000013,-3.840780219780212e-09,-4.058897844958108e-09,2.181176251778965e-10,4.880986753704179e-10,9.879826900220778e-10,-5.289826900220778e-10,-5.417695886131942e-10,4.59e-10,4.5629670329670207e-10,2.7032967032979506e-12
316.85,4.59e-10,0.6723331700000005,9.446000000000129e-07,0.944600000000013,-3.840780219780212e-09,-4.059349960316125e-09,2.1856974053591345e-10,4.883811769237181e-10,9.880087601458707e-10,-5.290087601458707e-10,-5.417813232549293e-10,4.59e-10,4.56296703296705e-10,2.703296703295004e-12
316.90000000000003,4.59e-10,0.6728969800000004,9.549999999999983e-07,0.9549999999999983,-3.840780219780212e-09,-4.05979761371163e-09,2.1901739393141832e-10,4.886638817123182e-10,9.880348302696635e-10,-5.290348302696636e-10,-5.417930563380478e-10,4.59e-10,4.5653846153846125e-10,2.4615384615387672e-12
316.95000000000005,4.5612222222221874e-10,0.6733719300000004,9.524999999999983e-07,0.9524999999999982,-3.843657997557993e-09,-4.0602407706124635e-09,2.1658277305447052e-10,4.889467897322635e-10,9.880609003934566e-10,-5.319386781712379e-10,-5.418047878883511e-10,4.5612222222221874e-10,4.5657777777777657e-10,-4.555555555578322e-13
317.0,4.522333333333323e-10,0.6738749599999999,9.498000000000006e-07,0.9498000000000006,-3.847546886446879e-09,-4.060679396486466e-09,2.1313251003958709e-10,4.89229900976632e-10,9.880869705172495e-10,-5.358536371839172e-10,-5.418165179316409e-10,4.522333333333323e-10,4.565934065934075e-10,-4.360073260075209e-12
317.05,4.5354945054945124e-10,0.6744201100000001,9.467999999999989e-07,0.946799999999999,-3.846230769230761e-09,-4.0611134568014815e-09,2.1488268757072086e-10,4.895132154352198e-10,9.881130406410423e-10,-5.345635900915912e-10,-5.418282464937192e-10,4.5354945054945124e-10,4.56604395604395e-10,-3.0549450549437758e-12
317.1,4.5539560439560623e-10,0.6749310600000002,9.476000000000044e-07,0.9476000000000044,-3.844384615384605e-09,-4.061542917025352e-09,2.1715830164074622e-10,4.897967330941229e-10,9.881391107648354e-10,-5.327435063692291e-10,-5.418399736003878e-10,4.5539560439560623e-10,4.566263736263731e-10,-1.2307692307668762e-12
317.15000000000003,4.5869230769231e-10,0.6753907100000003,9.541000000000043e-07,0.9541000000000044,-3.8410879120879015e-09,-4.061967742625919e-09,2.2087983053801733e-10,4.900804539358408e-10,9.88165180888628e-10,-5.294728731963181e-10,-5.418516992774494e-10,4.5869230769231e-10,4.5681318681318804e-10,1.879120879121978e-12
317.20000000000005,4.6116483516483566e-10,0.6758564600000003,9.590000000000022e-07,0.9590000000000022,-3.8386153846153765e-09,-4.0623878990710255e-09,2.2377251445564906e-10,4.903643779394332e-10,9.881912510124212e-10,-5.270264158475855e-10,-5.418634235507062e-10,4.6116483516483566e-10,4.570769230769225e-10,4.087912087913136e-12
317.25,4.617142857142856e-10,0.6763313600000002,9.615000000000009e-07,0.9615000000000008,-3.838065934065926e-09,-4.062803351828513e-09,2.2473741776258716e-10,4.906485050808209e-10,9.88217321136214e-10,-5.265030354219285e-10,-5.418751464459609e-10,4.617142857142856e-10,4.572417582417575e-10,4.472527472528117e-12
317.3,4.6094505494505504e-10,0.6768343600000003,9.591999999999935e-07,0.9591999999999935,-3.838835164835157e-09,-4.063214066366225e-09,2.2437890153106837e-10,4.909328353330046e-10,9.88243391260007e-10,-5.272983363149518e-10,-5.418868679890158e-10,4.6094505494505504e-10,4.5725274725274753e-10,3.6923076923075046e-12
317.35,4.587472527472525e-10,0.6773795100000004,9.496999999999935e-07,0.9496999999999934,-3.841032967032959e-09,-4.0636200081520036e-09,2.2258704111904447e-10,4.912173686660917e-10,9.882694613838e-10,-5.295222086365474e-10,-5.418985882056736e-10,4.587472527472525e-10,4.5726666666666486e-10,1.480586080587651e-12
