time,ion_current_M2,ion_current_M44,potential,current1_mA,coll_current,current1,current1_muA,ion_current_M44_sBG_sub,ion_current_M44_sBG_ALS,ion_current_M44_sBG_ALS_sub,ion_current_M44_ALS,ion_current_M44_UVS,ion_current_M44_UVS_sub,ion_current_M44_UVS_ALS,ion_current_M44_UVS_ALS_sub,ion_current_M44_MF,ion_current_M44_MF_sub
130.0,4.6063739171270725e-09,3.896015718232045e-10,0.3916038928571428,-0.00019521428571428213,,-1.9521428571428215e-07,-0.1952142857142822,-6.005954356142127e-11,-6.911761811402235e-11,9.058074552601065e-12,4.594576628140818e-09,3.882741591644727e-10,1.3274126587317583e-12,-4.5034305407325465e-12,5.830843199464305e-12,3.8928214696132564e-10,3.194248618788058e-13
130.05,4.606585285714285e-09,3.8874132320441976e-10,0.39260300000000004,-0.0002891052631578584,,-2.891052631578584e-07,-0.28910526315785845,-6.091979218020597e-11,-6.911678439354296e-11,8.196992213336992e-12,4.59458572364245e-09,3.8828964168097634e-10,4.5168152344347507e-13,-4.516557179588588e-12,4.968238703032063e-12,3.8927942967032977e-10,-5.381064659100076e-13
130.1,4.603120450549452e-09,3.8788107458563565e-10,0.39260300000000004,-0.00019337288135593304,,-1.9337288135593305e-07,-0.19337288135593306,-6.178004079899013e-11,-6.911595002807839e-11,7.335909229088273e-12,4.5945948243444075e-09,3.883051209172517e-10,-4.2404633161609336e-13,-4.529682630296345e-12,4.105636298680252e-12,3.892515696132596e-10,-1.370495027623954e-12
130.15,4.599655615384616e-09,3.8773227348066295e-10,0.3929502758620696,-0.00020908620689653792,,-2.0908620689653792e-07,-0.20908620689653792,-6.192884190396278e-11,-6.911511501722785e-11,7.1862731132650686e-12,4.594603930244668e-09,3.88320596873735e-10,-5.883233930720292e-13,-4.542806891671215e-12,3.954483498599186e-12,3.892515696132596e-10,-1.5192961325966054e-12
130.20000000000002,4.59619078021978e-09,3.878883784530388e-10,0.3947815272727253,-0.0001650545454545142,,-1.6505454545451418e-07,-0.1650545454545142,-6.1772736931587e-11,-6.911427936059048e-11,7.341542429003481e-12,4.5946130413412056e-09,3.8833606955086284e-10,-4.476910978241635e-13,-4.555929962528594e-12,4.108238864704432e-12,3.892512088397791e-10,-1.3628303867403091e-12
130.25,4.593794270718233e-09,3.8804448342541436e-10,0.3918078909090903,-0.00011778181818180891,,-1.177818181818089e-07,-0.11778181818180893,-6.161663195921137e-11,-6.911344305776546e-11,7.496811098554086e-12,4.594622157632508e-09,3.883515389490713e-10,-3.070555236569583e-13,-4.569051841683881e-12,4.261996318026924e-12,3.89228635359116e-10,-1.1841519337015857e-12
130.3,4.59154344198895e-09,3.8828775494505545e-10,0.3924786885245905,-0.0002052459016393748,,-2.052459016393748e-07,-0.2052459016393748,-6.137336043957028e-11,-6.911260610835195e-11,7.739245668781665e-12,4.5946312791172115e-09,3.8836700506879663e-10,-7.925012374118677e-14,-4.58217252795247e-12,4.502922404211283e-12,3.892212928176796e-10,-9.335378726241415e-13
130.35,4.589292613259668e-09,3.895334417582419e-10,0.3913453389830509,-0.00029610169491525083,,-2.9610169491525093e-07,-0.2961016949152509,-6.012767362638382e-11,-6.911176851194912e-11,8.984094885565284e-12,4.594640405793879e-09,3.8838246791047596e-10,1.1509738477658842e-12,-4.5952920201497565e-12,5.7462658679156415e-12,3.892195823204422e-10,3.138594377997194e-13
130.4,4.589047519337018e-09,3.9077912857142907e-10,0.390365,-0.000338,,-3.38e-07,-0.33799999999999997,-5.888198681319665e-11,-6.911093026815611e-11,1.0228943454959448e-11,4.5946495376607614e-09,3.883979274745445e-10,2.3812010968845743e-12,-4.6084103170911395e-12,6.989611413975713e-12,3.892195823204422e-10,1.5595462509868915e-12
130.45000000000002,4.594511055248621e-09,3.920248153846162e-10,0.3907953571428575,-0.0003562142857143005,,-3.5621428571430047e-07,-0.3562142857143005,-5.763630000000949e-11,-6.911009137657205e-11,1.1473791376562561e-11,4.5946586747155706e-09,3.884133837614394e-10,3.611431623176838e-12,-4.6215274175920165e-12,8.232959040768856e-12,3.892195823204422e-10,2.805233064174064e-12
130.5,4.599974591160222e-09,3.9265968176795575e-10,0.3919023793103451,-0.0003308275862068477,,-3.308275862068477e-07,-0.3308275862068477,-5.700143361666997e-11,-6.910925183679609e-11,1.2107818220126115e-11,4.594667816955461e-09,3.884288367715962e-10,4.230844996359511e-12,-4.634643320467786e-12,8.865488316827297e-12,3.892195823204422e-10,3.44009944751358e-12
130.55,4.605438127071826e-09,3.9251714033149163e-10,0.39267521052631454,-0.0001571578947368832,,-1.5715789473688322e-07,-0.1571578947368832,-5.7143975053134105e-11,-6.910841164842743e-11,1.1964436595293328e-11,4.594676964377571e-09,3.8844428650545136e-10,4.072853826040219e-12,-4.647758024533847e-12,8.720611850574068e-12,3.892166933701657e-10,3.3004469613259302e-12
130.6,4.607795153846153e-09,3.923745988950276e-10,0.39041029824561424,-0.00023347368421051942,,-2.334736842105195e-07,-0.23347368421051945,-5.728651648959812e-11,-6.910757081106517e-11,1.1821054321467053e-11,4.5946861169795695e-09,3.884597329634415e-10,3.91486593158616e-12,-4.660871528605594e-12,8.575737460191755e-12,3.892166933701657e-10,3.1579055248619098e-12
130.65,4.608404769230769e-09,3.9223205745856354e-10,0.3922236779661021,-0.00020593220338982536,,-2.0593220338982536e-07,-0.20593220338982535,-5.742905792606219e-11,-6.91067293243085e-11,1.1677671398246324e-11,4.594695274759126e-09,3.8847517614600187e-10,3.756881312561618e-12,-4.6739838314984254e-12,8.430865144060042e-12,3.892166933701657e-10,3.0153640883978372e-12
130.70000000000002,4.609014384615384e-09,3.9069707900552405e-10,0.3908815714285709,-0.00016285714285713154,,-1.6285714285713156e-07,-0.16285714285713154,-5.896403637910167e-11,-6.910588718775668e-11,1.0141850808654996e-11,4.594704437713913e-09,3.8849061605356963e-10,2.206462951954421e-12,-4.6870949320277414e-12,6.893557883982162e-12,3.892166933701657e-10,1.4803856353583464e-12
