E,I,I2
-0.1062,-0.00061,0.03906
-0.1062,-0.00031,0.03784
-0.1059,-0.00031,0.03754
-0.10468,-0.00061,0.0415
-0.10437,-0.00031,0.03723
-0.10406,-0.00061,0.03723
-0.10376,-0.00092,0.03876
-0.10284,0,0.03998
-0.10315,0,0.03998
-0.10193,-0.00122,0.03937
-0.10162,-0.00061,0.03815
-0.10162,-0.00061,0.03784
-0.10132,-0.00061,0.0415
-0.09979,0,0.03876
-0.1004,-0.00031,0.03632
-0.09918,-0.00092,0.03937
-0.09888,0,0.03784
-0.09796,-0.00092,0.03784
-0.09857,0.00061,0.04089
-0.09735,-0.00031,0.03693
-0.09644,0,0.03815
-0.09674,-0.00092,0.04028
-0.09552,-0.00061,0.03754
-0.0946,0.00031,0.03876
-0.09399,0,0.03906
-0.09338,-0.00061,0.03937
-0.09247,0.00031,0.03906
-0.09247,-0.00122,0.03723
-0.09186,-0.00061,0.04028
-0.09094,-0.00153,0.03723
-0.09094,0.00031,0.03784
-0.09033,-0.00031,0.03784
-0.08972,0,0.03876
-0.08942,-0.00122,0.03845
-0.08942,0.00031,0.04089
-0.0885,-0.00153,0.03693
-0.08789,-0.00061,0.03723
-0.08759,-0.00092,0.03937
-0.08667,-0.00061,0.03845
-0.08698,-0.00092,0.03693
-0.08606,0.00061,0.03967
-0.08545,-0.00092,0.03632
-0.08514,0.00031,0.03906
-0.08423,-0.00153,0.03845
-0.08423,0,0.03876
-0.08392,0,0.03632
-0.08301,-0.00031,0.03876
-0.0824,-0.00092,0.03784
-0.0827,-0.00061,0.03784
-0.08209,0,0.03845
-0.08148,-0.00031,0.03815
-0.08087,0,0.03784
-0.07996,-0.00122,0.04028
-0.07874,-0.00092,0.03784
-0.07935,0,0.03845
-0.07904,0.00031,0.03784
-0.07843,-0.00092,0.03784
-0.07843,-0.00061,0.03754
-0.0769,-0.00092,0.03937
-0.0769,0,0.03937
-0.07599,-0.00031,0.03784
-0.07538,0.00061,0.03937
-0.07477,-0.00092,0.03845
-0.07507,-0.00031,0.03662
-0.07416,-0.00122,0.03845
-0.07355,-0.00092,0.03754
-0.07202,-0.00092,0.03845
-0.07263,0,0.03906
-0.07202,-0.00031,0.03784
-0.07202,0,0.03723
-0.0705,-0.00092,0.03906
-0.07019,0.00061,0.03906
-0.0708,-0.00122,0.03693
-0.06989,0.00031,0.03906
-0.06958,-0.00061,0.03845
-0.06805,-0.00031,0.03754
-0.06805,-0.00031,0.03906
-0.06775,0.00031,0.03845
-0.06744,-0.00092,0.03693
-0.06744,-0.00092,0.03876
-0.06622,-0.00092,0.03845
-0.06592,0.00031,0.03906
-0.06561,-0.00153,0.03937
-0.06439,0,0.03906
-0.06409,0,0.03967
-0.06409,0,0.03876
-0.06378,-0.00031,0.03754
-0.06256,-0.00031,0.03815
-0.06195,-0.00061,0.03815
-0.06226,0.00031,0.03998
-0.06134,-0.00061,0.03845
-0.06104,-0.00031,0.03845
-0.06073,-0.00061,0.03784
-0.05981,-0.00061,0.03998
-0.0592,-0.00031,0.03967
-0.05859,-0.00031,0.03845
-0.05798,-0.00061,0.03815
-0.05798,0.00031,0.03906
-0.05707,-0.00061,0.03754
-0.05737,0.00031,0.03998
-0.05676,-0.00061,0.03723
-0.05615,0,0.03845
-0.05524,-0.00031,0.03815
-0.05524,-0.00061,0.03723
-0.05432,0.00061,0.03754
-0.05432,-0.00061,0.03845
-0.05402,-0.00031,0.03693
-0.0528,-0.00092,0.03815
-0.05341,0,0.03998
-0.05219,0,0.03937
-0.05157,-0.00061,0.03662
-0.05127,-0.00092,0.03967
-0.05066,0,0.03754
-0.05005,0,0.03632
-0.04974,-0.00061,0.03906
-0.04852,-0.00031,0.03815
-0.04852,0.00061,0.03693
-0.04761,-0.00122,0.03876
-0.04852,-0.00061,0.03906
-0.04669,-0.00092,0.03754
-0.04639,0.00031,0.03693
-0.04639,-0.00153,0.03845
-0.04608,-0.00092,0.03693
-0.04456,-0.00092,0.03845
-0.04456,0.00061,0.03967
-0.04456,-0.00183,0.03906
-0.04425,-0.00031,0.03784
-0.04333,0,0.03754
-0.04242,0.00031,0.03784
-0.04272,-0.00092,0.04028
-0.0412,0,0.03845
-0.0412,-0.00092,0.03632
-0.0412,-0.00031,0.03815
-0.03998,-0.00061,0.03845
-0.04028,0.00061,0.03906
-0.03937,-0.00092,0.03845
-0.03876,-0.00092,0.03723
-0.03815,0,0.03723
-0.03723,0.00061,0.03998
-0.03662,-0.00061,0.03845
-0.03754,0.00031,0.03845
-0.03662,-0.00092,0.0415
-0.03571,-0.00092,0.03723
-0.0354,-0.00061,0.03906
-0.03418,0.00092,0.03906
-0.03448,-0.00061,0.03906
-0.03418,-0.00092,0.03967
-0.03296,-0.00061,0.03845
-0.03326,0.00031,0.04028
-0.03204,0,0.03754
-0.03235,-0.00061,0.03845
-0.03143,-0.00122,0.03754
-0.03082,0,0.03967
-0.02991,-0.00061,0.03662
-0.02991,0,0.03937
-0.02899,-0.00153,0.03754
-0.0293,0,0.03815
-0.02869,0,0.03845
-0.02777,-0.00061,0.03967
-0.02747,-0.00092,0.03601
-0.02686,-0.00031,0.03784
-0.02594,-0.00092,0.03601
-0.02563,-0.00092,0.03723
-0.02594,-0.00031,0.03693
-0.02563,-0.00031,0.03906
-0.02411,0.00031,0.03693
-0.02441,0.00031,0.03632
-0.0235,0.00031,0.03845
-0.02289,-0.00061,0.03784
-0.02258,-0.00061,0.03723
-0.02167,-0.00061,0.03937
-0.02197,0.00031,0.03906
-0.02075,-0.00092,0.03693
-0.02045,0.00031,0.03815
-0.02014,-0.00092,0.03876
-0.01923,0.00031,0.03754
-0.01923,-0.00031,0.03845
-0.01862,0,0.03906
-0.0177,0.00031,0.03937
-0.01801,0,0.03845
-0.0174,-0.00061,0.04211
-0.01648,-0.00031,0.03784
-0.01617,-0.00061,0.03906
-0.01495,0,0.03998
-0.01495,-0.00183,0.03906
-0.01465,-0.00031,0.03632
-0.01404,-0.00122,0.03937
-0.01404,0,0.03967
-0.01312,-0.00031,0.03784
-0.01221,-0.00122,0.03723
-0.01251,-0.00092,0.04211
-0.0116,-0.00031,0.03845
-0.0116,-0.00122,0.03662
-0.01068,0.00031,0.03998
-0.01007,-0.00153,0.03937
-0.00946,0,0.03876
-0.00977,-0.00061,0.03784
-0.00824,0.00061,0.04059
-0.00763,-0.00031,0.03815
-0.00763,0,0.03876
-0.00763,-0.00061,0.04211
-0.00732,-0.00092,0.03876
-0.00641,-0.00031,0.03632
-0.0061,0,0.03906
-0.00519,-0.00122,0.03876
-0.00519,-0.00092,0.03906
-0.00366,-0.00031,0.03754
-0.00427,0.00061,0.0415
-0.00275,-0.00122,0.03906
-0.00244,-0.00061,0.03815
-0.00244,-0.00092,0.04089
-0.00183,0,0.04211
-0.00061,-0.00183,0.03845
-0.00061,0,0.03998
0,-0.00061,0.03876
0.00061,0,0.03998
0.00092,0.00031,0.03723
0.00092,-0.00031,0.04089
0.00153,-0.00061,0.03845
0.00183,0,0.03754
0.00183,-0.00061,0.0412
0.00336,-0.00031,0.04028
0.00458,0,0.04028
0.00488,-0.00092,0.03906
0.00519,0,0.03937
0.0058,0.00061,0.0354
0.00641,0,0.0415
0.00641,0.00061,0.03906
0.00732,-0.00061,0.03754
0.00824,-0.00153,0.04242
0.00763,-0.00031,0.03906
0.00916,0,0.03876
0.00916,0.00031,0.03937
0.00946,-0.00031,0.03967
0.01038,-0.00061,0.04059
0.01038,0.00122,0.0354
0.01129,0.00031,0.04242
0.01068,0,0.04028
0.01251,-0.00092,0.03876
0.01251,0,0.04303
0.01282,-0.00061,0.04028
0.01312,0.00031,0.03967
0.01434,-0.00031,0.03937
0.01495,0,0.04242
0.01465,-0.00122,0.04089
0.01526,-0.00031,0.03784
0.01617,-0.00031,0.04242
0.01678,0.00061,0.0415
0.01709,-0.00061,0.03784
0.01709,0,0.04242
0.01831,-0.00061,0.03998
0.01862,0.00092,0.03967
0.01862,-0.00061,0.03906
0.01984,0.00061,0.0412
0.01953,-0.00031,0.03906
0.02014,0.00122,0.03845
0.02106,-0.00061,0.04425
0.02045,-0.00031,0.03906
0.02167,-0.00061,0.03876
0.02289,-0.00031,0.04089
0.0235,-0.00061,0.04059
0.02289,0.00061,0.04089
0.0238,-0.00061,0.03845
0.02441,-0.00031,0.04425
0.02441,0.00031,0.03937
0.02594,0.00031,0.04089
0.02625,-0.00061,0.04333
0.02625,0,0.04211
0.02747,-0.00092,0.03906
0.02747,-0.00061,0.0415
0.02777,0.00031,0.03998
0.02808,-0.00061,0.0412
0.02899,-0.00061,0.03906
0.02899,-0.00061,0.04517
0.03021,0,0.0412
0.03052,0,0.04028
0.03113,0,0.04059
0.03113,-0.00061,0.04395
0.03143,-0.00031,0.03815
0.03265,-0.00061,0.03906
0.03326,-0.00092,0.04242
0.03235,0,0.04059
0.03418,-0.00031,0.03876
0.03387,-0.00061,0.0412
0.0354,-0.00031,0.04059
0.0354,0,0.0412
0.03601,0.00031,0.03662
0.03601,0.00031,0.0412
0.03632,0.00031,0.0412
0.03693,0.00061,0.03998
0.03723,-0.00031,0.03693
0.03815,-0.00061,0.04364
0.03815,0.00092,0.03937
0.03906,-0.00031,0.03815
0.03845,0,0.04028
0.04059,0.00092,0.0415
0.04059,-0.00031,0.03967
0.04181,-0.00092,0.04028
0.04181,0,0.04303
0.04181,-0.00031,0.04028
0.04242,0.00031,0.03845
0.04272,0,0.04272
0.04395,0,0.04272
0.04364,-0.00122,0.03967
0.04486,0.00031,0.03937
0.04547,0.00061,0.04242
0.04517,-0.00031,0.04181
0.04578,-0.00092,0.04059
0.04639,0,0.03845
0.047,-0.00061,0.04395
0.04761,-0.00092,0.04089
0.04883,0,0.03906
0.04852,-0.00031,0.04028
0.04883,-0.00061,0.04211
0.05005,0.00061,0.04272
0.04974,-0.00061,0.03876
0.05035,-0.00031,0.04669
0.05127,-0.00061,0.0415
0.05157,0.00031,0.0412
0.05157,0.00092,0.04181
0.0528,0,0.047
0.0528,-0.00122,0.04303
0.05341,0.00031,0.04089
0.05432,0,0.04272
0.05463,0,0.04303
0.05463,-0.00061,0.03937
0.05554,-0.00031,0.03784
0.05554,-0.00153,0.04822
0.05585,-0.00061,0.04272
0.05615,-0.00061,0.04242
0.05798,-0.00122,0.04242
0.05798,-0.00092,0.04303
0.05798,0.00031,0.04089
0.05859,-0.00092,0.03937
0.0589,0.00031,0.04669
0.06073,0,0.04242
0.06012,0,0.0412
0.06073,-0.00092,0.03845
0.06104,-0.00031,0.04578
0.06165,-0.00031,0.0412
0.06195,0,0.04272
0.06317,0,0.03998
0.06348,-0.00061,0.04181
0.06409,-0.00122,0.04059
0.06409,0,0.03937
0.06409,-0.00092,0.04456
0.065,0.00031,0.04272
0.06561,-0.00031,0.04028
0.06653,0,0.04181
0.06683,-0.00031,0.04364
0.06744,0,0.0415
0.06744,-0.00061,0.03815
0.06775,-0.00031,0.0415
0.06805,0.00061,0.04272
0.06927,0,0.0415
0.06989,0.00061,0.03998
0.06989,-0.00183,0.04578
0.0708,0.00031,0.04211
0.07141,-0.00061,0.03845
0.07202,0.00031,0.03998
0.07263,-0.00122,0.04547
0.07294,0.00031,0.04456
0.07294,-0.00122,0.0412
0.07324,0.00061,0.0412
0.07446,-0.00092,0.0415
0.07477,-0.00031,0.03998
0.07507,-0.00122,0.03845
0.07599,0.00061,0.04578
0.07568,-0.00061,0.04242
0.0769,0.00031,0.04089
0.0769,-0.00122,0.03967
0.07782,-0.00122,0.04547
0.07843,0,0.04181
0.07843,0.00153,0.03937
0.07904,-0.00061,0.03906
0.07935,0.00031,0.04272
0.08026,-0.00092,0.0412
0.08057,0.00092,0.03998
0.08087,0.00031,0.04608
0.08148,0.00031,0.04303
0.08179,-0.00183,0.03998
0.08301,0.00031,0.04242
0.0824,-0.00092,0.0415
0.08362,0,0.0415
0.08362,-0.00092,0.03967
0.08423,0.00061,0.04364
0.08423,0,0.04181
0.08514,0.00031,0.0412
0.08575,-0.00031,0.03601
0.08698,-0.00061,0.04578
0.08636,-0.00061,0.04242
0.08698,0,0.0415
0.0885,-0.00092,0.03937
0.0882,-0.00031,0.04211
0.08911,0,0.03998
0.08972,-0.00092,0.03906
0.08972,-0.00092,0.04547
0.09064,0,0.04272
0.09186,0.00031,0.04181
0.09125,-0.00061,0.04181
0.09186,-0.00061,0.04486
0.09247,-0.00092,0.0415
0.09308,-0.00092,0.03815
0.09308,-0.00061,0.04059
0.0946,0.00031,0.04211
0.09552,-0.00061,0.0415
0.09521,-0.00061,0.03998
0.09521,0,0.0473
0.09644,-0.00092,0.04303
0.09613,-0.00061,0.03937
0.09705,0,0.04089
0.09705,-0.00092,0.04211
0.09796,0.00031,0.04211
0.09857,-0.00061,0.03937
0.09949,0,0.04517
0.09949,-0.00031,0.04211
0.09918,0.00061,0.0412
0.1001,0,0.04059
0.10101,0,0.04486
0.10132,-0.00061,0.04181
0.10284,0.00061,0.04242
0.10223,-0.00122,0.03784
0.10406,-0.00122,0.03845
0.10345,-0.00092,0.04547
0.10406,0,0.04333
0.10529,-0.00061,0.03967
0.10529,0.00031,0.04272
0.10651,-0.00183,0.04211
0.10681,0,0.0415
0.10742,-0.00122,0.03937
0.10742,0,0.04364
0.10803,-0.00061,0.04089
0.10925,0,0.0412
0.10864,0.00031,0.03845
0.10864,0,0.04761
0.11078,-0.00061,0.04333
0.11017,-0.00092,0.03937
0.11108,-0.00061,0.0415
0.11169,0,0.04333
0.11261,0,0.04059
0.11261,0,0.03937
0.11322,-0.00031,0.04242
0.11353,-0.00031,0.04181
0.11444,0.00031,0.03876
0.11414,-0.00061,0.03693
0.11536,-0.00031,0.04181
0.11536,-0.00061,0.04303
0.11536,-0.00122,0.03906
0.11688,-0.00061,0.0415
0.11658,0,0.0412
0.11688,-0.00061,0.04059
0.1178,-0.00061,0.03693
0.11902,0,0.04425
0.11963,-0.00122,0.0412
0.11993,-0.00061,0.04059
0.11993,-0.00092,0.03601
0.12054,-0.00031,0.04669
0.12177,0,0.04089
0.12115,-0.00031,0.03937
0.12238,0,0.04089
0.12238,-0.00061,0.04272
0.12299,-0.00061,0.03937
0.1239,-0.00092,0.03906
0.12421,0.00061,0.04395
0.12482,-0.00031,0.0415
0.12451,0,0.03784
0.12543,-0.00061,0.04028
0.12573,0,0.04333
0.12756,0,0.04059
0.12726,0.00031,0.03937
0.12756,-0.00092,0.04028
0.12787,0,0.04028
0.12848,0,0.03906
0.12909,-0.00061,0.03784
0.12939,0,0.04272
0.1297,0,0.03937
0.13,-0.00061,0.03937
0.13153,-0.00122,0.03784
0.13153,0,0.03998
0.13184,0.00092,0.03815
0.13184,-0.00122,0.03815
0.13306,-0.00183,0.04089
0.13336,-0.00092,0.03845
0.13336,-0.00061,0.03571
0.13428,-0.00092,0.03784
0.13458,-0.00031,0.03693
0.1355,-0.00092,0.03754
0.1358,-0.00031,0.03784
0.13611,-0.00061,0.03754
0.13702,0.00061,0.03815
0.13611,-0.00061,0.03662
0.13763,0,0.03937
0.13855,-0.00092,0.03754
0.13885,0,0.04028
0.13916,-0.00031,0.03723
0.14008,0.00031,0.03906
0.14008,-0.00031,0.03632
0.14099,0,0.03876
0.14099,0.00031,0.0354
0.1416,0.00061,0.03967
0.14191,-0.00092,0.03845
0.14252,-0.00061,0.03754
0.14282,-0.00061,0.03723
0.14374,0,0.03784
0.14404,-0.00061,0.03571
0.14404,0,0.03632
0.14496,-0.00092,0.03784
0.14526,-0.00092,0.03845
0.14587,-0.00092,0.03571
0.14648,0.00031,0.03815
0.14648,0.00031,0.03937
0.14771,0,0.03845
0.14801,0,0.03662
0.14954,0.00031,0.03906
0.14923,0.00031,0.03906
0.14923,-0.00031,0.03723
0.15015,-0.00031,0.03693
0.15015,-0.00061,0.03906
0.15076,0.00061,0.03693
0.15076,0,0.03632
0.15106,-0.00031,0.0351
0.15228,-0.00183,0.03784
0.15289,-0.00092,0.03723
0.15259,-0.00031,0.03632
0.1535,-0.00031,0.03845
0.15472,-0.00031,0.03723
0.15472,0,0.03693
0.15564,-0.00092,0.03815
0.15656,0.00031,0.03937
0.15594,-0.00092,0.03906
0.15717,0,0.03784
0.15747,-0.00031,0.03784
0.15778,0.00061,0.03815
0.15778,0,0.03784
0.159,-0.00092,0.03937
0.1593,0.00031,0.04028
0.16022,-0.00031,0.03845
0.15961,-0.00061,0.03693
0.16113,0.00061,0.03937
0.16113,-0.00183,0.03632
0.16205,0.00031,0.03723
0.16205,-0.00031,0.03754
0.16327,0.00061,0.03967
0.16357,0,0.03754
0.16388,0,0.03784
0.16388,-0.00092,0.03693
0.16479,0.00031,0.03784
0.16571,-0.00061,0.03632
0.16571,0,0.03693
0.16663,-0.00061,0.03845
0.16632,0.00031,0.03906
0.16724,-0.00122,0.03723
0.16846,0.00061,0.03876
0.16846,-0.00092,0.03693
0.16876,-0.00031,0.03784
0.16968,0,0.03754
0.16968,0.00031,0.03876
0.17059,-0.00092,0.03693
0.1712,0.00031,0.03967
0.17029,0,0.03601
0.17181,-0.00122,0.04028
0.17181,0.00031,0.03815
0.17242,0,0.03815
0.17334,-0.00061,0.03845
0.17303,0,0.03876
0.17426,-0.00031,0.03784
0.17517,0,0.03784
0.17548,0.00031,0.03754
0.17609,-0.00061,0.03876
0.17639,-0.00092,0.03662
0.1767,-0.00122,0.03723
0.177,0.00031,0.03845
0.17731,0,0.03815
0.17792,0,0.03723
0.17944,-0.00092,0.03754
0.17914,-0.00061,0.03937
