E,I,I2
0.24689,0.00031,0.03876
0.24689,0,0.0415
0.24811,0.00031,0.04242
0.24902,0,0.04059
0.24963,-0.00061,0.03876
0.24933,0,0.03967
0.24994,0.00031,0.04089
0.25085,-0.00031,0.03937
0.25208,0,0.03967
0.25208,-0.00061,0.04181
0.25208,0,0.0415
0.25238,0,0.03967
0.25299,0.00031,0.03845
0.2536,-0.00061,0.04333
0.2533,0.00092,0.04089
0.25482,0,0.03845
0.25543,0.00061,0.03815
0.25482,0.00061,0.04303
0.25635,-0.00031,0.0412
0.25574,0,0.04059
0.25696,0.00031,0.03906
0.25818,0,0.04242
0.25787,0.00031,0.04028
0.25818,0,0.03906
0.25909,0.00061,0.03845
0.2597,-0.00031,0.04211
0.25909,0.00061,0.04028
0.26062,0.00031,0.03998
0.26093,-0.00031,0.03784
0.26093,0,0.04242
0.26184,0,0.0412
0.26184,-0.00092,0.03906
0.26306,-0.00061,0.04028
0.26276,-0.00122,0.04272
0.26398,0.00031,0.04272
0.26337,-0.00031,0.04059
0.2655,-0.00061,0.0415
0.2655,-0.00061,0.04272
0.2655,0,0.04242
0.26611,0,0.03876
0.26703,0.00061,0.04089
0.26764,0,0.04456
0.26733,-0.00092,0.04486
0.26794,0.00031,0.04364
0.26917,-0.00061,0.0415
0.26917,0.00061,0.04578
0.26978,0.00031,0.04333
0.27039,0.00031,0.0415
0.27069,0,0.04028
0.27191,0,0.04364
0.27222,0,0.04333
0.27191,-0.00122,0.0412
0.27313,0,0.04028
0.27283,0,0.0412
0.27313,-0.00031,0.04181
0.27466,0,0.04089
0.27405,0,0.03967
0.27527,0,0.04547
0.27496,-0.00061,0.04303
0.27618,0.00031,0.04028
0.27679,0,0.03967
0.2774,0.00031,0.04486
0.27802,-0.00031,0.04242
0.27771,0.00031,0.04059
0.27924,-0.00031,0.03784
0.27863,-0.00061,0.04578
0.27924,-0.00031,0.04059
0.27985,0.00061,0.04364
0.28076,0,0.03906
0.28107,-0.00061,0.04608
0.28168,-0.00092,0.04303
0.28198,0.00122,0.04059
0.28259,-0.00092,0.03845
0.28259,0.00061,0.04608
0.28381,-0.00153,0.04242
0.28351,0,0.04181
0.28442,-0.00122,0.04059
0.28442,0.00061,0.0473
0.28534,-0.00092,0.0415
0.28595,0.00092,0.04242
0.28656,-0.00122,0.04211
0.28717,0.00031,0.04517
0.28748,0.00031,0.04303
0.28778,0.00061,0.0415
0.2887,0.00031,0.0412
0.2887,0.00061,0.04272
0.28931,-0.00031,0.04028
0.29022,0.00031,0.04028
0.29022,0.00031,0.04059
0.29114,0,0.04211
0.29114,-0.00061,0.03967
0.29266,-0.00061,0.03937
0.29297,0,0.04211
0.29266,-0.00031,0.0412
0.29297,-0.00061,0.04059
0.29388,0,0.0415
0.29449,-0.00031,0.04669
0.2951,0,0.04272
0.29449,0,0.04059
0.29572,-0.00031,0.03998
0.29602,0,0.04639
0.29724,-0.00092,0.04456
0.29755,0.00061,0.03937
0.29755,0.00031,0.03876
0.29938,0.00031,0.03815
0.29999,0.00061,0.04547
0.3009,-0.00031,0.04242
0.3006,0,0.04028
0.30182,-0.00061,0.04211
0.30182,0.00031,0.04547
0.30243,-0.00031,0.04303
0.30334,0,0.03998
0.30334,-0.00061,0.04395
0.30426,0.00092,0.04517
0.30457,-0.00061,0.04089
0.30609,-0.00031,0.0412
0.30579,-0.00092,0.0415
0.3064,-0.00031,0.04242
0.3067,-0.00031,0.03937
0.30731,0.00061,0.04059
0.30731,-0.00061,0.04028
0.30762,0.00031,0.04242
0.30945,-0.00031,0.04028
0.30975,0,0.0412
0.30975,-0.00061,0.04364
0.30975,0.00061,0.04272
0.31067,-0.00031,0.0412
0.31128,0.00061,0.03967
0.31097,0,0.04486
0.31189,0.00031,0.04333
0.31311,0,0.03937
0.3125,0.00031,0.04059
0.31403,0.00031,0.04608
0.31403,0,0.04211
0.31464,-0.00031,0.03967
0.31494,0.00122,0.03845
0.31586,0,0.04395
0.31616,0,0.04303
0.31677,0.00031,0.04059
0.31708,0.00031,0.04211
0.31769,-0.00061,0.04517
0.3183,0.00031,0.04395
0.31799,-0.00031,0.04059
0.31952,0.00031,0.04059
0.31921,-0.00031,0.04608
0.32043,0.00061,0.04333
0.32013,0,0.04028
0.32135,0.00031,0.03754
0.32104,-0.00061,0.04486
0.32196,0,0.04272
0.32196,0.00031,0.04059
0.32349,0.00061,0.03815
0.32379,-0.00061,0.04425
0.32379,0,0.04303
0.3244,0.00061,0.04089
0.32471,-0.00061,0.04059
0.32532,0,0.04578
0.32593,-0.00031,0.04181
0.32593,0.00031,0.03998
0.32715,0,0.0412
0.32715,0.00061,0.04456
0.32745,-0.00031,0.04181
0.32837,0,0.03967
0.32867,0.00031,0.04333
0.32928,0.00092,0.04303
0.3299,0,0.04211
0.3302,0,0.03937
0.33081,0.00031,0.04242
0.33203,0.00122,0.0415
0.33173,-0.00092,0.03998
0.33203,0.00031,0.03967
0.33325,0,0.04272
0.33356,0.00061,0.04272
0.33417,-0.00031,0.0412
0.33447,0,0.03998
0.33386,-0.00061,0.04181
0.33569,0.00061,0.04089
0.33569,0.00031,0.04089
0.336,0.00061,0.03906
0.33691,0,0.0412
0.33722,0.00031,0.04242
0.33722,-0.00031,0.03967
0.33813,-0.00031,0.03906
0.33844,-0.00031,0.03998
0.33936,0,0.04089
0.33936,-0.00061,0.03967
0.33997,-0.00031,0.03876
0.34027,-0.00092,0.03937
0.34119,0.00031,0.04272
0.34149,-0.00061,0.03967
0.3418,0.00061,0.03967
0.34271,0,0.03845
0.34332,0.00122,0.04028
0.34424,-0.00031,0.03693
0.34424,0,0.03845
0.34454,0.00031,0.03723
0.34485,0.00031,0.03998
0.34607,-0.00092,0.03784
0.34576,0.00031,0.03876
0.34668,0,0.03784
0.34698,0.00061,0.03937
0.3476,0.00092,0.03845
0.3479,0,0.03815
0.34851,0,0.03693
0.34882,0.00031,0.04089
0.34912,-0.00031,0.03845
0.34973,0.00031,0.03845
0.35004,0.00031,0.03815
0.35065,0.00092,0.03967
0.35126,0.00031,0.03906
0.35248,-0.00031,0.03845
0.35187,0.00061,0.03723
0.35309,0.00122,0.03906
0.3537,-0.00061,0.03723
0.354,-0.00031,0.03906
0.35492,0.00031,0.03906
0.35492,0.00031,0.03845
0.35522,0.00061,0.03723
0.35522,0,0.03845
0.35614,-0.00031,0.03754
0.35706,0,0.03998
0.35736,0.00183,0.03876
0.35736,0.00092,0.03967
0.35828,0.00061,0.03876
0.35828,-0.00061,0.03967
0.3598,0.00061,0.04028
0.36011,-0.00031,0.03876
0.36011,0,0.03754
0.36072,-0.00061,0.03693
0.36102,0,0.03967
0.36194,0,0.03815
0.36224,0.00061,0.03906
0.36285,0,0.03723
0.36285,0.00122,0.03906
0.36407,-0.00092,0.03723
0.36469,0.00061,0.03723
0.36438,0.00031,0.03784
0.36469,0.00031,0.03784
0.36621,-0.00153,0.03998
0.36652,0.00061,0.03815
0.36591,-0.00031,0.03784
0.36713,-0.00061,0.03754
0.36774,-0.00031,0.03876
0.36804,0.00031,0.03906
0.36865,-0.00031,0.03754
0.36896,0.00092,0.03937
0.36957,-0.00122,0.03845
0.36987,0.00092,0.03815
0.37079,0,0.03906
0.37109,0.00061,0.03845
0.3714,0.00061,0.03967
0.37201,0.00061,0.03876
0.37201,0.00092,0.03876
0.37262,0.00122,0.03815
0.37323,-0.00031,0.03906
0.37415,0.00092,0.04028
0.37445,-0.00122,0.03815
0.37537,0.00061,0.03845
0.37567,0.00061,0.03815
0.37628,0.00031,0.03967
0.3772,-0.00031,0.03723
0.37689,-0.00031,0.03876
0.37689,-0.00031,0.03906
0.37811,0,0.04028
0.37842,0,0.03815
0.37811,0,0.03906
0.37964,0.00061,0.03815
0.38025,-0.00031,0.04059
0.38116,-0.00031,0.03876
0.38055,0.00031,0.03998
0.38208,0.00031,0.03906
0.38208,0.00031,0.04089
0.38208,0.00031,0.03906
0.38269,0.00061,0.03998
0.38361,-0.00031,0.03784
0.3833,-0.00031,0.03754
0.38483,0.00031,0.03845
0.38513,0,0.03937
0.38544,0,0.03815
0.38666,-0.00061,0.04181
0.38666,0.00061,0.04059
0.38757,0.00031,0.04059
0.38757,0.00031,0.03937
0.38818,-0.00122,0.03723
0.38879,0.00031,0.04028
0.38849,0,0.03876
0.38879,0,0.03815
0.39001,0,0.03876
0.38971,-0.00061,0.03845
0.39063,0.00031,0.04059
0.39185,0.00122,0.03754
0.39185,0.00122,0.03906
0.39246,0.00122,0.03845
0.39246,0.00031,0.03967
0.39337,0.00092,0.03967
0.39368,-0.00031,0.03876
0.39429,0.00061,0.03937
0.39459,0.00061,0.04089
0.3949,0,0.03998
0.39581,0.00031,0.03845
0.39642,0.00092,0.03967
0.39764,-0.00061,0.03876
0.39703,-0.00031,0.04028
0.39825,0.00092,0.03937
0.39886,-0.00061,0.04028
0.39917,0.00031,0.0415
0.39978,0,0.03937
0.40009,0,0.03906
0.4007,0,0.03845
0.4007,0.00061,0.03937
0.40161,0.00031,0.03906
0.40222,0.00061,0.03784
0.40283,0,0.03815
0.40253,0.00122,0.03876
0.40375,0.00031,0.03845
0.40375,0,0.03754
0.40405,-0.00031,0.03784
0.40497,0,0.03784
0.40497,0.00122,0.03754
0.40588,0.00061,0.03784
0.40649,0.00031,0.03815
0.4068,0.00061,0.03998
0.40771,0.00031,0.04059
0.40771,0.00061,0.03998
0.40894,0.00061,0.03906
0.40924,0.00061,0.03845
0.40955,-0.00061,0.03754
0.41046,0,0.03998
0.41046,0.00031,0.03906
0.41138,0.00061,0.03937
0.41107,0,0.03815
0.4126,0,0.03937
0.4129,0.00031,0.03967
0.41382,0.00031,0.03967
0.41351,0,0.03754
0.41351,0.00031,0.03876
0.41473,0.00031,0.0412
0.41504,0,0.03998
0.41565,-0.00031,0.03815
0.41565,0.00092,0.03784
0.41656,0.00031,0.03845
0.41656,-0.00061,0.03967
0.41809,0.00061,0.03754
0.41809,-0.00061,0.03845
0.4187,-0.00031,0.03693
0.4187,0.00061,0.0412
0.41931,-0.00122,0.03876
0.41992,-0.00061,0.03754
0.41992,0,0.03876
0.42114,0,0.03815
0.42236,0.00092,0.03876
0.42145,-0.00061,0.03784
0.42206,0.00092,0.03784
0.42328,0.00031,0.0412
0.42328,0,0.03998
0.42419,0,0.03937
0.4245,0,0.03937
0.42511,-0.00092,0.03906
0.42572,0,0.03998
0.42542,0,0.03876
0.42572,0.00031,0.03784
0.42633,0,0.03906
0.42694,0.00092,0.03998
0.42786,-0.00061,0.03845
0.42725,-0.00031,0.03815
0.42847,-0.00031,0.03815
0.42938,0.00031,0.0415
0.42938,-0.00061,0.03937
0.4303,0.00122,0.03937
0.42999,0.00061,0.03845
0.43121,0.00031,0.04089
0.43213,0.00031,0.03906
0.43182,0.00092,0.03998
0.43396,0.00061,0.03784
0.43304,0.00061,0.03876
0.43304,-0.00092,0.03906
0.43396,0.00061,0.03906
0.43457,0,0.03906
0.43488,0.00031,0.04028
0.43579,0,0.03998
0.43549,0.00061,0.04028
0.4364,0.00031,0.03906
0.43762,0.00031,0.04059
0.43732,0.00031,0.03967
0.43823,0,0.04028
0.43884,0.00031,0.03906
0.43884,0.00031,0.03937
0.43945,0,0.04089
0.44037,0.00031,0.0412
0.44006,0,0.03906
0.44098,0.00031,0.03876
0.44128,0.00031,0.03937
0.4422,0,0.03967
0.4422,0,0.03815
0.44342,0,0.03967
0.44403,-0.00061,0.04059
0.44373,0,0.04028
0.44464,0.00031,0.03876
0.44464,-0.00061,0.03754
0.44525,0.00031,0.03876
0.44556,-0.00031,0.03906
0.44678,0.00031,0.03937
0.44739,0.00122,0.03723
0.44739,0,0.03632
0.44769,0,0.03998
0.44891,0.00031,0.03906
0.44922,0,0.03906
0.44952,0.00122,0.03815
0.44983,0.00061,0.03998
0.44983,0.00031,0.04028
0.45105,0.00061,0.04028
0.45166,0.00031,0.04211
0.45197,0.00031,0.0415
0.45258,0.00031,0.03998
0.45319,0.00031,0.03967
0.45319,0.00122,0.03906
0.45441,0.00031,0.04181
0.4541,0.00031,0.04059
0.45471,-0.00031,0.03998
0.45502,0.00092,0.03967
0.45532,-0.00061,0.03967
0.45685,0.00061,0.04089
0.45685,0.00031,0.03937
0.45715,0.00092,0.03967
0.45776,-0.00061,0.03906
0.45868,0.00031,0.04211
0.45868,0.00031,0.04089
0.45929,0.00061,0.04059
0.45959,-0.00061,0.04028
0.46082,0.00061,0.04486
0.46051,0.00061,0.04242
0.46143,0.00031,0.0412
0.46204,0.00031,0.03906
0.46234,0.00061,0.04547
0.46265,0.00061,0.0412
0.46356,0,0.0412
0.46326,0.00031,0.03906
0.46417,0.00061,0.04059
0.46448,0.00031,0.04028
0.46478,0,0.03967
0.4657,-0.00031,0.03845
0.466,0.00061,0.04181
0.46722,0,0.04364
0.46722,0,0.0415
0.46722,0,0.04089
0.46753,0.00061,0.03967
0.46875,0.00031,0.04425
0.46906,0.00092,0.04181
0.46997,0.00031,0.04089
0.47058,0.00092,0.03967
0.47058,0.00092,0.0415
0.47119,0.00092,0.04059
0.4715,0.00031,0.04272
0.47241,0.00031,0.04028
0.47302,-0.00031,0.04181
0.47363,-0.00122,0.04242
0.47394,0.00092,0.04181
0.47424,0,0.0415
0.47424,0.00031,0.03937
0.47516,0.00031,0.04608
0.47577,0.00092,0.04181
0.47577,0.00031,0.0412
0.47607,0.00031,0.03937
0.47699,0,0.04364
0.4776,0.00092,0.04272
0.47791,-0.00092,0.04059
0.47882,0.00092,0.03967
0.47943,0,0.0412
0.47974,0.00061,0.04211
0.47943,0,0.04242
0.47974,0.00122,0.04028
0.48065,0.00061,0.04181
0.48157,0.00092,0.04425
0.48126,0.00061,0.04242
0.48218,0.00061,0.0415
0.48248,0.00061,0.03937
0.48431,0.00092,0.04517
0.48401,0,0.04181
0.48401,0.00092,0.04089
0.48492,0.00061,0.03937
0.48553,0.00061,0.04089
0.48553,0.00061,0.04211
0.48676,0.00061,0.0415
0.48676,0.00031,0.03967
0.48767,0.00031,0.04333
0.48767,0.00061,0.04395
0.48828,0.00122,0.04242
0.48889,0,0.04089
0.4895,0.00061,0.04028
0.49011,0.00061,0.04395
0.49042,0.00031,0.04272
0.49103,-0.00031,0.04089
0.49133,0,0.04089
0.49164,0,0.04333
0.49133,0,0.04364
0.49286,0.00061,0.04089
0.49347,0.00122,0.0412
0.49377,0,0.04181
0.49408,-0.00061,0.04395
0.495,0.00061,0.04211
0.495,0,0.04242
0.49774,0.00031,0.04272
0.49744,0.00092,0.04028
0.49835,0,0.04578
0.49805,0.00092,0.04242
0.49896,0.00031,0.04333
0.49957,0.00122,0.04028
0.50018,-0.00031,0.04517
0.50079,0.00122,0.04395
0.5014,0.00031,0.04486
0.50201,0.00122,0.0415
0.50171,0.00031,0.04456
0.50232,0.00031,0.04395
0.50262,0.00031,0.04486
0.50446,-0.00031,0.0412
0.50385,0.00031,0.04089
0.50446,0.00092,0.04608
0.50476,0,0.04364
0.50476,0.00092,0.04272
0.50598,-0.00092,0.04059
0.5069,0.00092,0.04517
0.50659,0.00031,0.04425
0.50751,0.00122,0.0415
0.50781,0.00061,0.04242
0.50873,0.00153,0.04395
0.50842,-0.00061,0.04395
0.50873,0.00153,0.04211
0.51086,0,0.0415
0.50995,0.00122,0.04303
0.51147,-0.00031,0.04578
0.51086,0.00092,0.04272
0.51147,0,0.0412
0.5127,0.00214,0.04181
0.513,0.00061,0.04852
0.51239,0.00092,0.04425
0.51392,0.00092,0.04425
0.51422,0.00153,0.04211
0.51575,0.00061,0.04761
0.51483,0.00122,0.04456
0.51544,0.00061,0.04272
0.51605,0.00122,0.0415
0.51697,0.00122,0.04608
0.51605,0.00031,0.04242
0.51727,0.00092,0.04181
0.51849,0.00031,0.04211
0.5188,0.00031,0.04425
0.51941,0.00092,0.04425
0.51971,0.00092,0.04333
0.52002,0,0.04456
0.52094,0.00031,0.04425
0.52063,0.00122,0.04547
0.52246,0.00122,0.04303
0.52216,0.00183,0.04395
0.52246,0.00122,0.04486
0.52338,0,0.04578
0.52399,0.00122,0.04364
0.5249,0.00183,0.04242
0.5246,0.00061,0.04517
0.52521,0,0.04578
0.52582,0.00092,0.04425
0.52612,0.00061,0.04547
0.52673,0.00122,0.04486
0.52673,0.00061,0.04669
0.52765,0.00122,0.04517
0.52856,0.00031,0.04333
0.52856,0.00061,0.04272
0.52887,0,0.04669
0.53009,0.00122,0.04486
0.5304,0,0.04364
0.5307,0.00061,0.0415
0.53131,0,0.04883
0.53192,0.00031,0.04608
0.53162,0.00092,0.04517
0.53253,0.00153,0.04364
0.53345,0.00061,0.04608
0.53375,0.00092,0.04547
0.53345,0.00122,0.04364
0.53467,0.00153,0.04242
0.53497,0.00092,0.04333
0.53528,0.00153,0.04456
0.5365,0.00153,0.04364
0.5365,0.00153,0.04272
0.53711,0.00183,0.04456
0.53772,0.00153,0.04639
0.53833,0.00031,0.04608
0.53833,0.00275,0.04364
0.53955,0.00031,0.04669
0.53894,0.00183,0.04822
0.53986,0.00092,0.04669
0.54077,0.00061,0.04547
0.54138,0.00092,0.0415
0.54199,0.00122,0.04944
0.54199,0.00061,0.04639
0.5423,0.00244,0.04517
0.5426,0.00061,0.04425
0.54382,0.00153,0.04974
0.54413,0.00122,0.04761
0.54382,0.00214,0.047
0.54474,0.00122,0.04364
0.54535,0.00183,0.05066
0.54596,0.00153,0.0473
0.54718,0.00275,0.04547
0.54657,0.00153,0.04395
0.54718,0.00183,0.04761
0.5481,0.00244,0.04608
0.5481,0.00214,0.047
0.54901,0.00183,0.04517
0.54932,0.00183,0.04852
0.54993,0.00244,0.04883
0.54962,0.00183,0.04639
0.55084,0.00336,0.04578
0.55115,0.00305,0.04852
0.55176,0.00275,0.05096
0.55298,0.00214,0.04852
0.55206,0.00366,0.04395
0.55389,0.00275,0.04211
0.55328,0.00305,0.05066
0.55481,0.00183,0.04883
0.55511,0.00244,0.04639
0.55573,0.00214,0.04669
0.55573,0.00275,0.05066
0.55603,0.00275,0.04822
0.55725,0.00305,0.04669
0.55756,0.00305,0.04639
0.55725,0.00305,0.04669
0.55756,0.00214,0.04791
0.55878,0.00275,0.04608
0.55969,0.00214,0.04486
0.55969,0.00305,0.0473
0.56061,0.00275,0.05035
0.56061,0.00305,0.05035
0.56091,0.00183,0.04791
0.56061,0.00244,0.05005
0.56152,0.00275,0.05096
0.56244,0.00305,0.04852
0.56305,0.00214,0.04547
0.56396,0.00305,0.04669
0.56366,0.00183,0.05188
0.56488,0.00214,0.04791
0.56488,0.00183,0.04547
0.5658,0.00336,0.04456
0.5658,0.00275,0.05371
0.56671,0.00275,0.05035
0.56702,0.00244,0.04761
0.56793,0.00305,0.04517
0.56732,0.00275,0.05341
0.56885,0.00275,0.04883
0.56885,0.00214,0.04883
0.56946,0.00275,0.047
0.57037,0.00183,0.05066
0.57007,0.00366,0.04791
0.57098,0.00244,0.04761
0.57098,0.00214,0.04822
0.5722,0.00275,0.05127
0.57251,0.00275,0.05005
0.57251,0.00183,0.04822
0.57373,0.00275,0.0473
0.57373,0.00214,0.04822
0.57434,0.00183,0.04913
0.57465,0.00214,0.047
0.57434,0.00275,0.04608
0.57556,0.00153,0.04791
0.57648,0.00305,0.05157
0.57739,0.00275,0.04944
0.57739,0.00244,0.04883
0.5777,0.00244,0.04913
0.57861,0.00214,0.05096
0.57922,0.00244,0.04791
0.57922,0.00244,0.04791
0.57983,0.00275,0.04761
0.58044,0.00214,0.05066
0.58044,0.00244,0.04944
0.58105,0.00214,0.04883
0.58228,0.00397,0.04913
0.58228,0.00366,0.05066
0.58228,0.00214,0.04974
0.58319,0.00244,0.04883
0.58411,0.00244,0.05035
0.58411,0.00366,0.05096
0.58472,0.00214,0.04944
0.58472,0.00214,0.04883
0.58563,0.00275,0.04974
0.58624,0.00275,0.05188
0.58655,0.00366,0.05096
0.58746,0.00244,0.05066
0.58777,0.00214,0.05096
0.58777,0.00336,0.05157
0.58899,0.00275,0.05157
0.58929,0.00305,0.05066
0.59021,0.00305,0.05219
0.59052,0.00244,0.05127
0.59143,0.00275,0.04822
0.59082,0.00275,0.04883
0.59174,0.00275,0.05035
0.59204,0.00244,0.05249
0.59174,0.00336,0.05066
0.59479,0.00305,0.04974
0.5954,0.00366,0.05371
0.59601,0.00275,0.0528
0.59631,0.00488,0.05127
0.59692,0.00366,0.05127
0.59784,0.00366,0.05554
0.59814,0.00214,0.05371
0.59875,0.00427,0.0528
0.59875,0.00366,0.05188
0.59937,0.00427,0.05402
0.59937,0.00244,0.05432
0.60089,0.00336,0.05249
0.60089,0.00336,0.05096
0.6015,0.00488,0.05371
0.60181,0.00336,0.05463
0.60181,0.00366,0.05402
0.60303,0.00275,0.0528
0.60364,0.00427,0.05371
0.60425,0.00336,0.05463
0.60455,0.00336,0.05402
0.60455,0.00336,0.05188
0.60547,0.00458,0.05432
0.60638,0.00336,0.05524
0.60638,0.00458,0.0531
0.60669,0.00336,0.0531
0.60699,0.00397,0.05371
0.6076,0.00397,0.05524
0.60852,0.00458,0.05249
0.60944,0.00427,0.0528
0.60944,0.00366,0.05615
0.60974,0.00549,0.05432
0.61127,0.00458,0.05524
0.61066,0.00458,0.0528
0.61066,0.00519,0.05798
0.61218,0.00366,0.05615
0.61188,0.00366,0.05585
0.6134,0.00488,0.05402
0.6134,0.00519,0.05859
0.61371,0.00458,0.05524
0.61401,0.00458,0.05646
0.61462,0.00458,0.05371
0.61554,0.00549,0.05981
0.61584,0.0058,0.05829
0.61615,0.00519,0.05615
0.61676,0.0058,0.05554
0.61676,0.00488,0.06073
0.61737,0.00549,0.0592
0.61798,0.00549,0.05524
0.61859,0.0061,0.05341
0.61951,0.00488,0.06012
0.6189,0.00641,0.05768
0.61981,0.00488,0.05707
0.62042,0.0061,0.05402
0.62134,0.00549,0.06256
0.62225,0.00702,0.0592
0.62225,0.0058,0.05707
0.62195,0.00702,0.05554
0.62317,0.0058,0.06012
0.62347,0.00702,0.05859
0.62439,0.0058,0.05707
0.62531,0.00671,0.05737
0.62469,0.00671,0.06104
0.62561,0.00763,0.06134
0.62622,0.00732,0.05859
0.62714,0.00702,0.06042
0.62653,0.00732,0.06287
0.62744,0.00885,0.05981
0.62775,0.00702,0.0592
0.62836,0.00793,0.06256
0.62927,0.00793,0.06256
0.62988,0.00854,0.06317
0.63049,0.00854,0.06104
0.63049,0.00885,0.06378
0.6308,0.00793,0.06195
0.6308,0.00946,0.06378
0.63232,0.00916,0.06195
0.63202,0.00916,0.06287
0.63293,0.00854,0.06256
0.63324,0.00885,0.06409
0.63416,0.00946,0.06256
0.63446,0.01038,0.06775
0.63446,0.00977,0.06531
0.63446,0.00977,0.0647
0.63538,0.01038,0.06378
0.63599,0.01038,0.06866
0.63721,0.01099,0.065
0.63721,0.01099,0.06653
0.63782,0.0116,0.06897
0.63843,0.01099,0.07019
0.63934,0.0116,0.06744
0.63904,0.01251,0.06805
0.64026,0.01251,0.06958
0.63995,0.01068,0.07141
0.64026,0.01251,0.07019
0.64148,0.01251,0.07172
0.64178,0.01251,0.0708
0.64148,0.01312,0.07111
0.6424,0.01373,0.07202
0.64301,0.01373,0.07324
0.64331,0.01434,0.07446
0.64362,0.01465,0.07538
0.64484,0.01617,0.07629
0.64545,0.01556,0.0769
0.64514,0.01709,0.07904
0.64606,0.01617,0.08057
0.64667,0.0177,0.07874
0.64697,0.0177,0.08087
0.64789,0.01923,0.08057
0.64789,0.01953,0.0827
0.6485,0.01984,0.08453
0.64911,0.02075,0.08575
0.65002,0.0235,0.08911
0.65033,0.0238,0.08911
0.65094,0.02472,0.08942
0.65125,0.02472,0.08972
0.65155,0.02655,0.09216
0.65155,0.02747,0.09308
0.65216,0.0293,0.0943
0.65308,0.03021,0.09796
0.65369,0.03235,0.09888
0.65369,0.03418,0.09979
0.65399,0.03876,0.10101
0.65491,0.03906,0.10559
0.65552,0.04364,0.10529
0.65552,0.047,0.10681
0.65613,0.05157,0.10986
0.65674,0.05707,0.11475
0.65735,0.06409,0.11627
0.65826,0.07446,0.12146
0.65796,0.09094,0.12543
0.65887,0.11169,0.13092
0.65918,0.14191,0.13367
0.6601,0.16998,0.13885
0.65948,0.1944,0.14801
0.66132,0.21332,0.15564
0.66101,0.22705,0.16602
0.66193,0.23621,0.17822
0.66254,0.24506,0.19867
0.66284,0.25513,0.21942
0.66315,0.26886,0.24506
0.66376,0.2829,0.27527
0.66406,0.29633,0.31342
0.66467,0.30823,0.3537
0.66498,0.31921,0.4007
0.66589,0.32928,0.45013
0.66711,0.34027,0.50964
0.66681,0.34698,0.5722
0.66742,0.34668,0.64484
0.66803,0.34515,0.72357
0.66864,0.34485,0.81604
0.66864,0.34515,0.91187
0.66925,0.34546,1.01471
0.66986,0.34576,1.1322
0.67017,0.34363,1.25275
0.67139,0.33905,1.37543
0.67078,0.33325,1.50848
0.67108,0.32715,1.64398
0.672,0.32257,1.77734
0.67322,0.3186,1.9101
0.67291,0.31311,2.04071
0.67383,0.30853,2.1637
0.67383,0.30426,2.27692
0.67444,0.30182,2.38647
0.67505,0.29816,2.48627
0.67566,0.29175,2.57385
0.67596,0.28473,2.6593
0.67688,0.27802,2.73895
0.67719,0.27313,2.80914
0.67749,0.27222,2.87079
0.67841,0.26978,2.93121
0.67902,0.26947,2.98828
0.67871,0.26794,3.04077
0.67963,0.26703,3.0838
0.67963,0.26642,3.12531
0.68024,0.26672,3.15338
0.68115,0.2655,3.18542
0.68115,0.2655,3.21503
0.68237,0.26337,3.23456
0.68268,0.26489,3.26202
0.68359,0.26398,3.28339
0.68359,0.2652,3.30414
0.6842,0.26428,3.32336
0.68451,0.26428,3.34381
0.6842,0.26276,3.35297
0.68604,0.26428,3.367
0.68695,0.26306,3.38318
0.68695,0.26367,3.3963
0.68695,0.26276,3.40118
0.68726,0.26245,3.41309
0.68817,0.26306,3.42194
0.68787,0.26337,3.43353
0.68909,0.26184,3.43872
0.69,0.26215,3.44116
0.6897,0.26215,3.43445
0.69,0.26306,3.43628
0.69031,0.26215,3.44116
0.69305,0.26184,3.46497
0.69366,0.26123,3.46893
0.69458,0.26215,3.47015
0.69519,0.26245,3.47046
0.6955,0.26154,3.46893
0.6958,0.26184,3.4729
0.69611,0.26184,3.46161
0.69641,0.26123,3.46832
0.69733,0.26062,3.47076
0.69733,0.26123,3.46954
0.69855,0.26123,3.47321
0.69855,0.26093,3.46924
0.69916,0.26062,3.47565
0.69946,0.26123,3.4671
0.70038,0.26062,3.46588
0.70068,0.26062,3.46619
0.70129,0.26001,3.46375
0.7016,0.26001,3.46039
0.70221,0.2597,3.4552
0.70282,0.26093,3.45337
0.70313,0.26093,3.45276
0.70343,0.26123,3.45001
0.70435,0.26001,3.45764
0.70526,0.26062,3.46497
0.70465,0.26001,3.46649
0.70557,0.26031,3.46008
0.70679,0.2597,3.4549
0.70587,0.26031,3.46069
0.7074,0.2594,3.45856
0.7074,0.26001,3.45612
0.7077,0.25848,3.46039
0.70862,0.2597,3.46008
0.70923,0.2597,3.46436
0.70984,0.26031,3.46771
0.70984,0.2594,3.46252
0.71075,0.26001,3.46527
0.71106,0.2594,3.46924
0.71167,0.26062,3.46832
0.71259,0.25909,3.47321
0.71259,0.2597,3.47168
0.71289,0.2594,3.46649
0.7135,0.2594,3.46863
0.71411,0.26062,3.46497
0.71503,0.2597,3.46313
0.71564,0.2597,3.46436
0.71564,0.2594,3.46222
0.71594,0.25879,3.46558
0.71686,0.25909,3.45551
0.71716,0.26001,3.45245
0.71747,0.25848,3.461
0.71869,0.25818,3.45795
0.71869,0.25879,3.45825
0.71899,0.25909,3.46252
0.7196,0.2597,3.46558
0.7196,0.25818,3.46405
0.72052,0.25818,3.46008
0.72205,0.25757,3.45825
0.72174,0.25909,3.461
0.72205,0.25848,3.46069
