E,I,I,j
V,A,nA,uA cm-2
0.16558,3.551801E-10,0.3551801,52.4446140852391
0.16649,3.579431E-10,0.3579431,52.8525887119637
0.1674,3.602298E-10,0.3602298,53.1902345964846
0.16831,3.570718E-10,0.3570718,52.7239356926857
0.16922,3.588166E-10,0.3588166,52.9815665753166
0.17012,3.503172E-10,0.3503172,51.7265757890758
0.17103,3.600459E-10,0.3600459,53.1630805849556
0.17194,3.5899E-10,0.35899,53.0071701946702
0.17285,3.582691E-10,0.3582691,52.9007246975997
0.17376,3.581916E-10,0.3581916,52.8892813267813
0.17467,3.589024E-10,0.3589024,52.9942354942355
0.17557,3.594569E-10,0.3594569,53.076110966736
0.17648,3.589593E-10,0.3589593,53.0026371432621
0.17739,3.527036E-10,0.3527036,52.078943016443
0.1783,3.599052E-10,0.3599052,53.1423053298053
0.17921,3.549602E-10,0.3549602,52.4121444433944
0.18012,3.58427E-10,0.358427,52.9240396427896
0.18103,3.570143E-10,0.3570143,52.7154454498205
0.18193,3.545607E-10,0.3545607,52.3531557125307
0.18284,3.597358E-10,0.3597358,53.1172923360423
0.18375,3.564559E-10,0.3564559,52.6329941173691
0.18466,3.581415E-10,0.3581415,52.8818837412587
0.18557,3.555549E-10,0.3555549,52.4999557030807
0.18647,3.535736E-10,0.3535736,52.2074040824041
0.18738,3.589151E-10,0.3589151,52.9961107304857
0.18829,3.591371E-10,0.3591371,53.0288904507655
0.1892,3.593874E-10,0.3593874,53.0658488470988
0.19011,3.524276E-10,0.3524276,52.0381898506898
0.19102,3.551645E-10,0.3551645,52.4423106454356
0.19193,3.609622E-10,0.3609622,53.2983781421281
0.19283,3.578357E-10,0.3578357,52.8367304148554
0.19374,3.632149E-10,0.3632149,53.6310037091287
0.19465,3.551194E-10,0.3551194,52.4356513419013
0.19556,3.647599E-10,0.3647599,53.8591328435078
0.19647,3.626076E-10,0.3626076,53.541331978832
0.19738,3.577205E-10,0.3577205,52.8197203978454
0.19828,3.548231E-10,0.3548231,52.3919007512757
0.19919,3.580575E-10,0.3580575,52.8694806038556
0.2001,3.607687E-10,0.3607687,53.2698066291816
0.20101,3.581788E-10,0.3581788,52.8873913248913
0.20192,3.61826E-10,0.361826,53.4259237384237
0.20283,3.601326E-10,0.3601326,53.1758823946324
0.20373,3.588331E-10,0.3588331,52.9840029058779
0.20464,3.623845E-10,0.3623845,53.5083898365148
0.20555,3.588443E-10,0.3588443,52.9856566575317
0.20646,3.645566E-10,0.3645566,53.8291142978643
0.20737,3.559576E-10,0.3559576,52.5594169344169
0.20828,3.565291E-10,0.3565291,52.6438025656776
0.20918,3.58972E-10,0.358972,53.0045123795124
